iteration,train_accuracy,test_accuracy,loss,time,individualize,accountant,seed,dataset_name,batch_size,ratios,budgets,linear_budgets,max_grad_norm,noise_multiplier,weights,optimizer,momentum,learning_rate,epochs,class_budgets,epsilon_0,linear_epsilon_0,epsilon_1,linear_epsilon_1,epsilon_2,linear_epsilon_2,accuracy_0,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
0,10.302,10.24,2.300159215927124,1.456773042678833,clipping,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.5613159179687504,"[1.4033602351683592, 2.549210679611651, 3.51262474916388]",SGD,0.5,0.1,60,,0.035941401355826005,1.0365951016436445,0.14084254555175288,1.1512433653243528,0.29507555191505297,1.3432278382882745,0.0,0.0,0.0,80.9,0.0,0.0,21.5,0.0,0.0,0.0
100,28.52,29.1,2.0359914302825928,31.959662675857544,clipping,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.5613159179687504,"[1.4033602351683592, 2.549210679611651, 3.51262474916388]",SGD,0.5,0.1,60,,0.1673774833718658,1.1822004421000087,0.3440973813547866,1.4107160062548034,0.5380054535424769,1.7125876178311996,53.2,33.8,4.2,12.9,2.2,26.0,68.1,29.3,25.6,35.7
200,34.116,35.63,1.8714123964309692,61.780582427978516,clipping,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.5613159179687504,"[1.4033602351683592, 2.549210679611651, 3.51262474916388]",SGD,0.5,0.1,60,,0.2397335467375809,1.270910466961601,0.48614624463340017,1.62603777812251,0.7412140754374332,2.098481683628909,46.5,42.5,9.2,16.9,30.7,31.1,51.3,43.0,44.4,40.7
300,39.168,39.54,1.9089900255203247,91.2451069355011,clipping,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.5613159179687504,"[1.4033602351683592, 2.549210679611651, 3.51262474916388]",SGD,0.5,0.1,60,,0.29645153036150773,1.345077363003698,0.5977464044702958,1.8180171051243543,0.9055891437716932,2.4733886754301486,50.3,48.2,17.3,15.0,39.8,33.3,52.6,46.0,45.7,47.2
400,41.186,41.33,1.8426798582077026,120.78452372550964,clipping,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.5613159179687504,"[1.4033602351683592, 2.549210679611651, 3.51262474916388]",SGD,0.5,0.1,60,,0.3449283910003981,1.4118888121022128,0.6932910882710142,2.0002878361325602,1.0467295966987549,2.8483207118246665,48.3,54.7,16.9,14.7,31.7,42.7,57.7,48.5,53.5,44.6
500,43.8,44.1,1.6053082942962646,150.14512991905212,clipping,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.5613159179687504,"[1.4033602351683592, 2.549210679611651, 3.51262474916388]",SGD,0.5,0.1,60,,0.38807585636168856,1.4741416030656274,0.7784622244395263,2.178120228763113,1.172797578469837,3.2310190359044504,50.4,56.3,24.4,30.4,37.8,38.1,51.4,50.0,55.4,46.8
600,45.018,45.38,1.554448127746582,179.6404480934143,clipping,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.5613159179687504,"[1.4033602351683592, 2.549210679611651, 3.51262474916388]",SGD,0.5,0.1,60,,0.4274097119663589,1.533280736515892,0.8562011495553556,2.3542004297807018,1.2880470416512082,3.62569879821975,51.0,60.2,30.2,25.0,30.8,42.3,55.0,53.2,56.4,49.7
700,46.742,46.5,1.3424261808395386,208.5269331932068,clipping,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.5613159179687504,"[1.4033602351683592, 2.549210679611651, 3.51262474916388]",SGD,0.5,0.1,60,,0.46383426708535563,1.5901594068468152,0.9282811370752808,2.5301564457065138,1.3950509807557863,4.035180283929108,54.7,60.7,31.8,22.7,33.9,45.9,54.9,51.5,57.6,51.3
800,47.718,47.72,1.454648494720459,237.51689434051514,clipping,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.5613159179687504,"[1.4033602351683592, 2.549210679611651, 3.51262474916388]",SGD,0.5,0.1,60,,0.49794339453542324,1.6453339858733969,0.9958529526874981,2.707032327336816,1.4954887618229555,4.461516639038618,51.5,61.9,27.0,27.9,36.2,41.6,62.3,56.0,58.1,54.7
900,48.788,48.65,1.442447543144226,266.65978145599365,clipping,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.5613159179687504,"[1.4033602351683592, 2.549210679611651, 3.51262474916388]",SGD,0.5,0.1,60,,0.5301516976222862,1.6991900521592402,1.0597314569809868,2.885595978555024,1.5905363984009155,4.906379996997697,54.4,66.5,32.4,25.8,34.8,50.7,54.0,54.6,61.9,51.4
1000,49.616,49.5,1.556962013244629,295.8018705844879,clipping,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.5613159179687504,"[1.4033602351683592, 2.549210679611651, 3.51262474916388]",SGD,0.5,0.1,60,,0.5607651012187091,1.752012454494568,1.1204975935819175,3.066379634565004,1.6810541131823444,5.371214856430551,52.1,65.2,29.9,27.6,35.3,48.4,60.4,56.2,65.3,54.6
1100,50.42,50.87,1.5990861654281616,324.5793569087982,clipping,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.5613159179687504,"[1.4033602351683592, 2.549210679611651, 3.51262474916388]",SGD,0.5,0.1,60,,0.59000638384996,1.8039999318259898,1.1786095791460274,3.249852397466111,1.7676942335803643,5.857332139227848,54.1,70.8,33.9,29.7,31.4,49.7,60.9,57.6,65.8,54.8
1200,52.108,51.69,1.445889949798584,353.8755533695221,clipping,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.5613159179687504,"[1.4033602351683592, 2.549210679611651, 3.51262474916388]",SGD,0.5,0.1,60,,0.618060762423631,1.8553266318592494,1.2344087175886862,3.43634606889811,1.850969030505598,6.36598536869332,54.5,68.8,32.7,30.4,41.8,52.7,58.4,57.1,63.8,56.7
1300,53.258,52.37,1.304579496383667,382.8093023300171,clipping,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.5613159179687504,"[1.4033602351683592, 2.549210679611651, 3.51262474916388]",SGD,0.5,0.1,60,,0.6450701979591228,1.906120830367719,1.2881825283039583,3.626190065293115,1.9312675403213588,6.898248510491052,53.0,72.0,36.7,32.3,38.7,51.7,58.2,57.3,66.5,57.3
1400,52.248,52.51,1.3165194988250732,411.5897927284241,clipping,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.5613159179687504,"[1.4033602351683592, 2.549210679611651, 3.51262474916388]",SGD,0.5,0.1,60,,0.6711507507378136,1.956487455098163,1.3401415380615294,3.8195840836362795,2.00893951729699,7.455406823593442,60.8,67.0,29.2,32.1,41.2,48.0,66.5,59.3,60.9,60.1
1500,52.716,52.65,1.2736425399780273,440.8331196308136,clipping,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.5613159179687504,"[1.4033602351683592, 2.549210679611651, 3.51262474916388]",SGD,0.5,0.1,60,,0.6963973625094182,2.006510939035586,1.3904875440225979,4.016807946379992,2.0842569986037596,8.038616558957447,53.3,73.8,37.4,28.2,30.6,51.6,62.6,60.3,72.3,56.4
1600,54.898,54.26,1.4193483591079712,469.5665431022644,clipping,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.5613159179687504,"[1.4033602351683592, 2.549210679611651, 3.51262474916388]",SGD,0.5,0.1,60,,0.7208918929668711,2.056266362541491,1.43937184440072,4.218045395811853,2.15743481454053,8.648923086654513,54.6,71.5,35.6,34.6,45.5,48.3,60.1,62.4,68.2,61.8
1700,55.742,55.22,1.2831743955612183,498.8629014492035,clipping,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.5613159179687504,"[1.4033602351683592, 2.549210679611651, 3.51262474916388]",SGD,0.5,0.1,60,,0.7447012866153834,2.1058123066993844,1.4869227990602714,4.423462670767263,2.2286688276471662,9.287494590992118,57.1,74.0,37.7,32.0,41.9,52.8,64.6,61.0,68.9,62.2
