iteration,train_accuracy,test_accuracy,loss,time,individualize,accountant,seed,dataset_name,batch_size,ratios,budgets,linear_budgets,max_grad_norm,noise_multiplier,weights,optimizer,momentum,learning_rate,epochs,class_budgets,epsilon_0,linear_epsilon_0,epsilon_1,linear_epsilon_1,epsilon_2,linear_epsilon_2,accuracy_0,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
0,10.474,10.4,2.3026721477508545,1.3150360584259033,sampling,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.0,2.5374942626953128,"[0.01094970792175293, 0.020617676575073244, 0.029687500703125]",SGD,0.5,0.2,60,,0.11409222687537345,1.1208554931172905,0.13840147442022915,1.1484365256213755,0.15830257882578008,1.1715206184175084,0.0,0.0,0.0,69.6,0.0,0.0,34.4,0.0,0.0,0.0
100,28.268,28.92,2.038254737854004,35.103748083114624,sampling,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.0,2.5374942626953128,"[0.01094970792175293, 0.020617676575073244, 0.029687500703125]",SGD,0.5,0.2,60,,0.18114430740787046,1.1985881319601515,0.34371614078843604,1.4101782865924062,0.5094902496431051,1.6644425284873205,53.3,31.2,5.5,16.4,0.3,21.2,68.5,28.8,26.3,37.7
200,33.286,34.3,1.9811129570007324,67.50191521644592,sampling,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.0,2.5374942626953128,"[0.01094970792175293, 0.020617676575073244, 0.029687500703125]",SGD,0.5,0.2,60,,0.2451096460508862,1.2777614070166339,0.4857549634230403,1.6254016645503553,0.7203928674241,2.0552404890936584,47.0,42.1,10.7,13.1,16.0,31.8,61.2,39.1,39.9,42.1
300,38.19,38.65,1.8052581548690796,99.09319496154785,sampling,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.0,2.5374942626953128,"[0.01094970792175293, 0.020617676575073244, 0.029687500703125]",SGD,0.5,0.2,60,,0.3014137824618623,1.351768563956084,0.5973522356178621,1.8173006406215944,0.8864348322318089,2.4264634629326713,49.7,47.3,14.5,16.6,36.5,35.9,50.5,41.0,45.0,49.5
400,41.362,42.44,1.5962913036346436,130.82101154327393,sampling,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.0,2.5374942626953128,"[0.01094970792175293, 0.020617676575073244, 0.029687500703125]",SGD,0.5,0.2,60,,0.3495347543961177,1.4184074872118961,0.6928888353478277,1.9994833763122664,1.0288336858869136,2.797800816472918,49.2,56.4,18.7,20.5,35.5,38.6,56.1,49.6,51.5,48.3
500,43.564,43.86,1.594783067703247,162.30565452575684,sampling,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.0,2.5374942626953128,"[0.01094970792175293, 0.020617676575073244, 0.029687500703125]",SGD,0.5,0.2,60,,0.39236691378539906,1.4804808205811633,0.7780472724712646,2.1772166009811063,1.155966224463399,3.1770917186961305,49.7,58.6,24.1,28.1,35.0,35.6,55.5,51.8,53.1,47.1
600,44.808,44.91,1.5671913623809814,194.39053559303284,sampling,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.0,2.5374942626953128,"[0.01094970792175293, 0.020617676575073244, 0.029687500703125]",SGD,0.5,0.2,60,,0.4314063085722218,1.5394209028142196,0.8557843060591704,2.353219301145583,1.2721577374371245,3.568544242566305,48.7,62.4,25.7,27.8,39.3,41.1,49.3,52.8,56.1,45.9
700,46.142,46.08,1.7645840644836426,224.79564690589905,sampling,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.0,2.5374942626953128,"[0.01094970792175293, 0.020617676575073244, 0.029687500703125]",SGD,0.5,0.2,60,,0.46755855575852523,1.5960926612323076,0.9278529035971956,2.5290731799735497,1.3800312626537106,3.975025895410324,51.1,62.8,25.3,26.3,33.6,44.6,55.0,53.1,58.2,50.8
800,46.962,46.98,1.4463986158370972,252.2579700946808,sampling,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.0,2.5374942626953128,"[0.01094970792175293, 0.020617676575073244, 0.029687500703125]",SGD,0.5,0.2,60,,0.5014088743026619,1.6510457487949037,0.9954224939462971,2.705867312372227,1.4812644894407427,4.398504027840912,50.5,60.5,25.1,29.5,36.1,40.4,59.9,54.8,57.6,55.4
900,47.562,47.05,1.572073221206665,278.84466195106506,sampling,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.0,2.5374942626953128,"[0.01094970792175293, 0.020617676575073244, 0.029687500703125]",SGD,0.5,0.2,60,,0.5333731024481265,1.7046726572973236,1.0592903927515054,2.8843235260254234,1.5770671216514704,4.8407376766768575,50.0,64.0,27.1,29.2,38.2,44.1,54.2,53.7,56.2,53.8
