iteration,train_accuracy,test_accuracy,loss,time,individualize,accountant,seed,dataset_name,batch_size,ratios,budgets,linear_budgets,max_grad_norm,noise_multiplier,weights,optimizer,momentum,learning_rate,epochs,class_budgets,epsilon_0,linear_epsilon_0,epsilon_1,linear_epsilon_1,epsilon_2,linear_epsilon_2,accuracy_0,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
0,10.256666666666666,10.17,2.312622308731079,0.892737627029419,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,1.5240478515624998,"[0.08898788310762651, 0.40112449799196787, 0.7876971608832807]",SGD,0.5,0.6,80,,0.05287750669837266,1.0543004924611208,1.704852434085733,5.5005739101010915,7.1720866785048365,1302.5597924750748,0.0,0.0,0.0,96.73267326732673,0.0,0.0,0.10438413361169102,3.5992217898832686,0.0,0.19821605550049554
100,80.75,81.62,0.6462746262550354,13.151569604873657,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,1.5240478515624998,"[0.08898788310762651, 0.40112449799196787, 0.7876971608832807]",SGD,0.5,0.6,80,,0.0921335369378498,1.0965112370576102,2.3257017414236696,10.233859089441333,15.050015727464832,3436677.527030935,95.51020408163265,98.14977973568281,87.5,86.03960396039604,93.27902240325865,29.37219730941704,95.72025052192066,88.61867704280155,74.12731006160165,60.654112983151634
200,90.65833333333333,90.93,0.36751702427864075,25.45219373703003,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,1.5240478515624998,"[0.08898788310762651, 0.40112449799196787, 0.7876971608832807]",SGD,0.5,0.6,80,,0.1292666162782325,1.1379934913119312,2.5586175316745488,12.91794631373377,17.99474073124095,65315552.19743037,95.91836734693878,97.44493392070484,90.50387596899225,90.0990099009901,92.36252545824847,83.85650224215247,96.76409185803757,88.52140077821012,85.21560574948666,87.31417244796829
300,93.01166666666667,93.32,0.23309265077114105,39.07688927650452,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,1.5240478515624998,"[0.08898788310762651, 0.40112449799196787, 0.7876971608832807]",SGD,0.5,0.6,80,,0.1596162688726889,1.1730606447308127,2.746330372513318,15.585334446685744,20.28159492377834,642961190.7049004,96.93877551020408,97.79735682819383,92.15116279069767,92.77227722772277,93.78818737270876,92.37668161434978,97.18162839248434,89.10505836575875,90.04106776180699,90.68384539147671
400,93.25333333333333,94.54,0.2607579231262207,52.74178981781006,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,1.5240478515624998,"[0.08898788310762651, 0.40112449799196787, 0.7876971608832807]",SGD,0.5,0.6,80,,0.1855403378344824,1.2038687602545053,2.9119909464223364,18.393382375567402,22.243340958968208,4572568682.844512,97.24489795918367,97.88546255506608,93.21705426356588,93.96039603960396,95.11201629327903,93.83408071748879,97.39039665970772,91.73151750972762,93.1211498973306,91.67492566897918
500,94.77,95.26,0.024699972942471504,66.07925176620483,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,1.5240478515624998,"[0.08898788310762651, 0.40112449799196787, 0.7876971608832807]",SGD,0.5,0.6,80,,0.20860152594982942,1.2319539990118582,3.0636849601398026,21.406293340792413,24.00344121735094,26580433978.377224,97.34693877551021,98.23788546255507,94.47674418604652,94.45544554455445,95.82484725050917,95.17937219730942,97.49478079331942,92.80155642023347,94.55852156057495,92.07135777998018
600,95.48333333333333,95.73,0.3173155188560486,80.6799852848053,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,1.5240478515624998,"[0.08898788310762651, 0.40112449799196787, 0.7876971608832807]",SGD,0.5,0.6,80,,0.22961135266375288,1.258110953429627,3.2057780579752317,24.674690889715233,25.622995122893453,134253430474.74913,97.85714285714286,97.88546255506608,94.57364341085271,95.04950495049505,96.13034623217922,96.41255605381166,97.7035490605428,94.45525291828794,95.07186858316221,92.17046580773042
700,96.00333333333333,96.08,0.12860244512557983,94.46942210197449,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,1.5240478515624998,"[0.08898788310762651, 0.40112449799196787, 0.7876971608832807]",SGD,0.5,0.6,80,,0.24905680223710844,1.2828148977563418,3.340399665520357,28.23040717142386,27.135753414754745,609407746289.081,97.95918367346938,98.41409691629956,94.37984496124031,95.44554455445545,95.72301425661914,96.52466367713005,97.80793319415449,95.13618677042801,95.7905544147844,93.55797819623389
800,95.66,96.45,0.17356766760349274,108.13605332374573,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,1.5240478515624998,"[0.08898788310762651, 0.40112449799196787, 0.7876971608832807]",SGD,0.5,0.6,80,,0.2672571815261537,1.306376379001847,3.4691788152652787,32.110363075084095,28.568708853145225,2554068906844.0996,97.95918367346938,98.41409691629956,95.63953488372093,96.33663366336634,96.5376782077393,97.19730941704036,97.80793319415449,95.8171206225681,95.37987679671458,93.3597621407334
900,95.44666666666667,96.58,0.20324020087718964,122.58454775810242,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,1.5240478515624998,"[0.08898788310762651, 0.40112449799196787, 0.7876971608832807]",SGD,0.5,0.6,80,,0.2844337930275355,1.3290093207036362,3.5930023942099973,36.343028383511,29.930317817392357,9967170093075.46,98.16326530612245,98.59030837004406,95.63953488372093,96.83168316831683,96.02851323828921,96.97309417040358,97.7035490605428,95.62256809338521,96.09856262833675,94.05351833498513
