iteration,train_accuracy,test_accuracy,loss,time,individualize,accountant,seed,dataset_name,batch_size,ratios,budgets,linear_budgets,max_grad_norm,noise_multiplier,weights,optimizer,momentum,learning_rate,epochs,class_budgets,epsilon_0,linear_epsilon_0,epsilon_1,linear_epsilon_1,epsilon_2,linear_epsilon_2,accuracy_0,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
0,10.155,9.97,2.306448459625244,0.9250833988189697,sampling,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,0.5246554565429689,"[6.628571182768793e-08, 0.002474976561187744, 0.022924805458251957]",SGD,0.5,0.6,80,,0.9310862702410868,2.537263835393775,2.9867516741882416,19.821192115426143,4.817704483912635,123.6808532803568,0.0,0.0,0.0,97.32673267326733,0.0,0.0,0.0,0.48638132295719844,0.0,0.8919722497522299
100,71.515,72.82,1.1328235864639282,12.918716430664062,sampling,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,0.5246554565429689,"[6.628571182768793e-08, 0.002474976561187744, 0.022924805458251957]",SGD,0.5,0.6,80,,0.9631135380803271,2.6198407620444484,4.059335165649324,57.93578057511772,11.08219718316939,65003.55132596622,93.46938775510205,98.76651982378854,75.0,65.84158415841584,92.66802443991854,4.0358744394618835,87.2651356993737,87.15953307392996,67.45379876796714,46.6798810703667
200,80.84166666666667,81.91,0.6679397225379944,26.320189952850342,sampling,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,0.5246554565429689,"[6.628571182768793e-08, 0.002474976561187744, 0.022924805458251957]",SGD,0.5,0.6,80,,0.9682409779058895,2.6333083354846796,4.354440323640577,77.82325730863867,13.754930378838436,941218.299932412,95.71428571428571,98.06167400881057,87.3062015503876,80.4950495049505,90.32586558044807,33.96860986547085,95.82463465553236,89.59143968871595,73.40862422997947,67.59167492566898
300,87.50166666666667,87.36,0.5178773403167725,39.05635929107666,sampling,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,0.5246554565429689,"[6.628571182768793e-08, 0.002474976561187744, 0.022924805458251957]",SGD,0.5,0.6,80,,0.9712995664061608,2.6413748718965024,4.5662160457432375,96.17948158097525,15.89919354598963,8034003.632077952,95.91836734693878,97.3568281938326,89.05038759689923,90.0990099009901,92.9735234215886,61.32286995515695,96.5553235908142,89.49416342412451,77.1047227926078,79.8810703666997
400,89.53666666666666,89.99,0.4274156093597412,50.39578175544739,sampling,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,0.5246554565429689,"[6.628571182768793e-08, 0.002474976561187744, 0.022924805458251957]",SGD,0.5,0.6,80,,0.9735447401340063,2.64731187967728,4.739483234996004,114.37508136644037,17.774556956183556,52407326.393283956,95.91836734693878,97.3568281938326,89.34108527131782,91.18811881188118,92.36252545824847,75.89686098654708,96.97286012526096,88.42412451361868,82.95687885010267,87.31417244796829
500,91.52166666666666,91.76,0.22094157338142395,63.75852704048157,sampling,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,0.5246554565429689,"[6.628571182768793e-08, 0.002474976561187744, 0.022924805458251957]",SGD,0.5,0.6,80,,0.975789913861852,2.6532622320468042,4.889441303463566,132.87931409627527,19.479545588678892,288309636.8971173,95.81632653061224,97.26872246696036,90.21317829457364,91.38613861386139,93.48268839103869,88.45291479820628,97.39039665970772,88.91050583657588,85.31827515400411,88.60257680872151
600,92.86666666666666,92.82,0.3966316282749176,77.49321293830872,sampling,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,0.5246554565429689,"[6.628571182768793e-08, 0.002474976561187744, 0.022924805458251957]",SGD,0.5,0.6,80,,0.9765338870714421,2.655236922532792,5.023517719393771,151.94486418150152,21.0668231205362,1409954287.4126158,96.53061224489795,97.26872246696036,90.89147286821705,91.68316831683168,93.38085539714868,91.92825112107623,97.49478079331942,90.56420233463035,88.39835728952772,89.69276511397423
700,93.15833333333333,93.53,0.21267738938331604,90.2964243888855,sampling,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,0.5246554565429689,"[6.628571182768793e-08, 0.002474976561187744, 0.022924805458251957]",SGD,0.5,0.6,80,,0.9777903959053716,2.6585753481235237,5.146492028861568,171.82766534496832,22.561869257286077,6287750781.396731,97.04081632653062,97.62114537444934,91.76356589147287,92.77227722772277,93.9918533604888,93.04932735426009,97.39039665970772,91.147859922179,89.73305954825462,90.48562933597621
800,93.87333333333333,94.03,0.1489875763654709,104.2462477684021,sampling,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,0.5246554565429689,"[6.628571182768793e-08, 0.002474976561187744, 0.022924805458251957]",SGD,0.5,0.6,80,,0.9790469047393014,2.661917971111984,5.26060191411297,192.59738349841965,23.984521604330073,26082269849.652912,97.24489795918367,97.62114537444934,92.73255813953489,93.36633663366337,94.70468431771894,93.27354260089686,97.49478079331942,91.63424124513618,90.75975359342915,91.17938553022795
900,93.83333333333333,94.55,0.11021466553211212,117.92185378074646,sampling,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,0.5246554565429689,"[6.628571182768793e-08, 0.002474976561187744, 0.022924805458251957]",SGD,0.5,0.6,80,,0.9803034135732313,2.6652647967755536,5.367638635830465,214.3560967979863,25.351790966347057,102362980573.03726,97.34693877551021,97.79735682819383,93.4108527131783,93.16831683168317,94.60285132382892,95.06726457399103,97.59916492693111,92.80155642023347,91.9917864476386,91.57581764122894
