iteration,train_accuracy,test_accuracy,loss,time,individualize,accountant,seed,dataset_name,batch_size,ratios,budgets,linear_budgets,max_grad_norm,noise_multiplier,weights,optimizer,momentum,learning_rate,epochs,class_budgets,epsilon_0,linear_epsilon_0,epsilon_1,linear_epsilon_1,epsilon_2,linear_epsilon_2,accuracy_0,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
0,10.141666666666667,10.09,2.312622308731079,0.6428351402282715,standard,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,3.42529296875,None,SGD,0.5,0.6,80,,0.05287750669837266,1.0543004924611208,0.05287750669837266,1.0543004924611208,0.05287750669837266,1.0543004924611208,0.0,0.0,0.0,98.61386138613861,0.0,0.0,0.0,0.7782101167315175,0.0,0.49554013875123887
100,70.175,71.82,1.1785701513290405,9.210664987564087,standard,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,3.42529296875,None,SGD,0.5,0.6,80,,0.0921335369378498,1.0965112370576102,0.0921335369378498,1.0965112370576102,0.0921335369378498,1.0965112370576102,93.26530612244898,99.11894273127753,69.18604651162791,72.67326732673267,90.42769857433808,3.1390134529147984,91.23173277661796,85.3112840466926,60.780287474332646,43.21110009910803
200,79.52833333333334,80.44,0.6154960989952087,18.07684636116028,standard,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,3.42529296875,None,SGD,0.5,0.6,80,,0.1292666162782325,1.1379934913119312,0.1292666162782325,1.1379934913119312,0.1292666162782325,1.1379934913119312,95.71428571428571,98.41409691629956,86.7248062015504,80.99009900990099,91.64969450101833,23.318385650224215,95.82463465553236,89.6887159533074,71.56057494866529,62.537165510406346
300,86.285,86.49,0.42849937081336975,25.628862142562866,standard,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,3.42529296875,None,SGD,0.5,0.6,80,,0.1596162688726889,1.1730606447308127,0.1596162688726889,1.1730606447308127,0.1596162688726889,1.1730606447308127,96.12244897959184,98.14977973568281,88.85658914728683,90.89108910891089,91.85336048879837,58.63228699551569,96.24217118997912,88.91050583657588,72.17659137577002,78.69177403369673
400,88.56166666666667,89.74,0.4010975658893585,32.9912371635437,standard,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,3.42529296875,None,SGD,0.5,0.6,80,,0.1855403378344824,1.2038687602545053,0.1855403378344824,1.2038687602545053,0.1855403378344824,1.2038687602545053,96.22448979591837,98.14977973568281,89.92248062015504,92.07920792079207,91.14052953156823,72.86995515695067,96.65970772442589,88.52140077821012,82.64887063655031,86.52130822596631
500,91.24833333333333,91.91,0.0983392596244812,41.73694372177124,standard,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,3.42529296875,None,SGD,0.5,0.6,80,,0.20860152594982942,1.2319539990118582,0.20860152594982942,1.2319539990118582,0.20860152594982942,1.2319539990118582,95.81632653061224,98.23788546255507,91.08527131782945,91.88118811881188,92.76985743380855,86.21076233183857,97.18162839248434,88.32684824902724,87.57700205338809,88.89990089197225
600,92.365,93.0,0.4637865722179413,49.52481126785278,standard,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,3.42529296875,None,SGD,0.5,0.6,80,,0.22961135266375288,1.258110953429627,0.22961135266375288,1.258110953429627,0.22961135266375288,1.258110953429627,97.34693877551021,97.97356828193833,90.40697674418605,92.37623762376238,93.07535641547861,91.70403587443946,96.86847599164926,90.07782101167315,89.42505133470226,90.28741328047572
700,93.09,93.53,0.22102561593055725,57.293046712875366,standard,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,3.42529296875,None,SGD,0.5,0.6,80,,0.24905680223710844,1.2828148977563418,0.24905680223710844,1.2828148977563418,0.24905680223710844,1.2828148977563418,97.14285714285714,97.97356828193833,90.79457364341086,92.97029702970298,93.68635437881873,93.38565022421524,96.97286012526096,90.6614785992218,90.96509240246407,90.48562933597621
800,92.96333333333334,94.05,0.23284626007080078,64.85477828979492,standard,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,3.42529296875,None,SGD,0.5,0.6,80,,0.2672571815261537,1.306376379001847,0.2672571815261537,1.306376379001847,0.2672571815261537,1.306376379001847,97.55102040816327,98.14977973568281,91.76356589147287,93.16831683168317,94.5010183299389,93.60986547085201,97.18162839248434,91.05058365758755,92.29979466119096,90.98116947472745
900,93.11333333333333,94.57,0.3258901834487915,72.99085903167725,standard,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,3.42529296875,None,SGD,0.5,0.6,80,,0.2844337930275355,1.3290093207036362,0.2844337930275355,1.3290093207036362,0.2844337930275355,1.3290093207036362,97.44897959183673,98.14977973568281,92.82945736434108,94.45544554455445,95.21384928716904,94.05829596412556,97.28601252609603,91.63424124513618,93.32648870636551,91.0802775024777
1000,93.93333333333334,94.68,0.2789555490016937,80.47182130813599,standard,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,3.42529296875,None,SGD,0.5,0.6,80,,0.30075039341895127,1.35087211288299,0.30075039341895127,1.35087211288299,0.30075039341895127,1.35087211288299,97.95918367346938,98.14977973568281,93.12015503875969,93.86138613861387,94.70468431771894,93.83408071748879,96.97286012526096,91.82879377431907,94.14784394250513,91.97224975222993
1100,95.04166666666667,95.05,0.11253566294908524,88.8805661201477,standard,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,3.42529296875,None,SGD,0.5,0.6,80,,0.31633147803220624,1.3720849962881982,0.31633147803220624,1.3720849962881982,0.31633147803220624,1.3720849962881982,97.65306122448979,98.23788546255507,93.5077519379845,94.65346534653466,94.80651731160896,94.5067264573991,96.65970772442589,93.48249027237354,94.25051334702259,92.46778989098117
1200,94.71333333333334,95.42,0.33043181896209717,95.94614291191101,standard,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,3.42529296875,None,SGD,0.5,0.6,80,,0.33127164032228007,1.392738064745604,0.33127164032228007,1.392738064745604,0.33127164032228007,1.392738064745604,98.16326530612245,98.32599118942731,93.7984496124031,95.54455445544555,95.31568228105907,94.05829596412556,97.49478079331942,93.57976653696498,94.55852156057495,93.06243805748265
1300,94.71,95.42,0.27929261326789856,104.17577052116394,standard,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,3.42529296875,None,SGD,0.5,0.6,80,,0.34564932423010797,1.4129070566625803,0.34564932423010797,1.4129070566625803,0.34564932423010797,1.4129070566625803,97.85714285714286,98.50220264317181,94.67054263565892,93.96039603960396,95.62118126272912,94.05829596412556,97.80793319415449,94.3579766536965,94.35318275154005,92.66600594648166
1400,95.11166666666666,95.59,0.25646382570266724,111.993985414505,standard,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,3.42529296875,None,SGD,0.5,0.6,80,,0.3595261672035007,1.4326504169539056,0.3595261672035007,1.4326504169539056,0.3595261672035007,1.4326504169539056,98.16326530612245,98.6784140969163,94.0891472868217,95.54455445544555,96.5376782077393,94.84304932735427,96.97286012526096,94.55252918287938,94.14784394250513,92.07135777998018
1500,95.45666666666666,95.73,0.22081317007541656,119.58325028419495,standard,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,3.42529296875,None,SGD,0.5,0.6,80,,0.3729556848296437,1.4520199918936894,0.3729556848296437,1.4520199918936894,0.3729556848296437,1.4520199918936894,98.36734693877551,98.59030837004406,94.67054263565892,96.13861386138613,95.11201629327903,94.73094170403587,97.18162839248434,94.3579766536965,94.86652977412732,92.9633300297324
1600,94.82833333333333,95.77,0.2781852185726166,127.957674741745,standard,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 10.0, 100.0]","[2.718281828459045, 22026.465794806718, 2.6881171418161356e+43]",0.2,3.42529296875,None,SGD,0.5,0.6,80,,0.385976896859039,1.4710506845308242,0.385976896859039,1.4710506845308242,0.385976896859039,1.4710506845308242,98.06122448979592,98.41409691629956,94.18604651162791,95.94059405940594,95.62118126272912,95.62780269058295,97.07724425887265,94.64980544747081,94.86652977412732,93.06243805748265
