INFO:root:Input args: Namespace(dname='MNIST', seeds=[0], architecture='MNIST_CNN', accountant='rdp', individualize=None, log_iteration=100, lr=0.6, momentum=0.5, epochs=80, n_workers=6, batch_size=512, max_physical_batch_size=128, delta=1e-05, budgets=[1.0, 10.0, 100.0], ratios=[0.54, 0.37, 0.09], max_grad_norm=0.2, noise_multiplier=3.42529, weights=None, adapt_weights_to_budgets=True, use_cuda='True', save_path='../mnist_extra_results/standard/MNIST/epochs_80_batch_512_lr_0.6_max_grad_norm_0.2_budgets_1.0_10.0_100.0_ratios_0.54_0.37_0.09_seeds_0', mode='mia', accuracy_log='accuracy.log', assign_budget='even', class_budgets=[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], mia_ndata=60000, mia_count=0, allow_excess=False, save_model='True')
INFO:root:seed: 0,   max_iteration: 9375,   1 epoch ~= 117 iterations
INFO:root:seed: 0,   max_iteration: 9375,   1 epoch ~= 117 iterations
INFO:root:Initializing privacy parameters:   max_grad_norm=0.2,   sample_rate=0.00847457627118644,   noise_multiplier 3.42529296875,   no individual parameters
INFO:root:iteration: 0,   train accuracy: 10.14,   test accuracy: 10.09,   loss: 2.31262,   DP costs: 0.053,   average batch-size: 513,   best alpha: 111.95,   time: 1
INFO:root:iteration: 100,   train accuracy: 70.17,   test accuracy: 71.82,   loss: 1.17857,   DP costs: 0.092,   average batch-size: 505,   best alpha: 110.59,   time: 9
INFO:root:iteration: 200,   train accuracy: 79.53,   test accuracy: 80.44,   loss: 0.6155,   DP costs: 0.129,   average batch-size: 507,   best alpha: 97.04,   time: 18
INFO:root:iteration: 300,   train accuracy: 86.28,   test accuracy: 86.49,   loss: 0.4285,   DP costs: 0.16,   average batch-size: 509,   best alpha: 81.43,   time: 26
INFO:root:iteration: 400,   train accuracy: 88.56,   test accuracy: 89.74,   loss: 0.4011,   DP costs: 0.186,   average batch-size: 511,   best alpha: 72.07,   time: 33
INFO:root:iteration: 500,   train accuracy: 91.25,   test accuracy: 91.91,   loss: 0.09834,   DP costs: 0.209,   average batch-size: 516,   best alpha: 65.38,   time: 42
INFO:root:iteration: 600,   train accuracy: 92.36,   test accuracy: 93.0,   loss: 0.46379,   DP costs: 0.23,   average batch-size: 513,   best alpha: 60.28,   time: 50
INFO:root:iteration: 700,   train accuracy: 93.09,   test accuracy: 93.53,   loss: 0.22103,   DP costs: 0.249,   average batch-size: 506,   best alpha: 56.27,   time: 57
INFO:root:iteration: 800,   train accuracy: 92.96,   test accuracy: 94.05,   loss: 0.23285,   DP costs: 0.267,   average batch-size: 505,   best alpha: 53.17,   time: 65
INFO:root:iteration: 900,   train accuracy: 93.11,   test accuracy: 94.57,   loss: 0.32589,   DP costs: 0.284,   average batch-size: 511,   best alpha: 50.44,   time: 73
INFO:root:iteration: 1000,   train accuracy: 93.93,   test accuracy: 94.68,   loss: 0.27896,   DP costs: 0.301,   average batch-size: 494,   best alpha: 48.06,   time: 80
INFO:root:iteration: 1100,   train accuracy: 95.04,   test accuracy: 95.05,   loss: 0.11254,   DP costs: 0.316,   average batch-size: 506,   best alpha: 46.16,   time: 89
INFO:root:iteration: 1200,   train accuracy: 94.71,   test accuracy: 95.42,   loss: 0.33043,   DP costs: 0.331,   average batch-size: 502,   best alpha: 44.33,   time: 96
INFO:root:iteration: 1300,   train accuracy: 94.71,   test accuracy: 95.42,   loss: 0.27929,   DP costs: 0.346,   average batch-size: 506,   best alpha: 42.75,   time: 104
INFO:root:iteration: 1400,   train accuracy: 95.11,   test accuracy: 95.59,   loss: 0.25646,   DP costs: 0.36,   average batch-size: 504,   best alpha: 41.4,   time: 112
INFO:root:iteration: 1500,   train accuracy: 95.46,   test accuracy: 95.73,   loss: 0.22081,   DP costs: 0.373,   average batch-size: 523,   best alpha: 40.25,   time: 120
INFO:root:iteration: 1600,   train accuracy: 94.83,   test accuracy: 95.77,   loss: 0.27819,   DP costs: 0.386,   average batch-size: 501,   best alpha: 38.97,   time: 128
