iteration,train_accuracy,test_accuracy,loss,time,individualize,accountant,seed,dataset_name,batch_size,ratios,budgets,linear_budgets,max_grad_norm,noise_multiplier,weights,optimizer,momentum,learning_rate,epochs,class_budgets,epsilon_0,linear_epsilon_0,epsilon_1,linear_epsilon_1,epsilon_2,linear_epsilon_2,accuracy_0,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
0,10.188333333333333,10.11,2.3126220703125,1.9175925254821777,clipping,rdp,0,MNIST,512,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.688330078125,"[0.15696935138987883, 0.28001017164653524, 0.37742587832047986]",SGD,0.5,0.6,80,,0.05287750669837263,1.0543004924611208,0.2036892848909909,1.2259171832814415,0.4061923924075203,1.5010913232520633,0.0,0.0,0.0,98.41584158415841,0.0,0.0,0.0,1.1673151750972763,0.0,0.49554013875123887
100,71.355,72.97,1.1000937223434448,18.225109577178955,clipping,rdp,0,MNIST,512,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.688330078125,"[0.15696935138987883, 0.28001017164653524, 0.37742587832047986]",SGD,0.5,0.6,80,,0.09213353693784974,1.09651123705761,0.253599961503585,1.2886561890574473,0.4824369263338017,1.6200174589790828,93.77551020408163,98.94273127753304,72.86821705426357,74.55445544554455,91.14052953156823,3.6995515695067263,91.64926931106471,86.284046692607,60.57494866529774,46.28344895936571
200,81.29,82.03,0.5605214238166809,34.16877365112305,clipping,rdp,0,MNIST,512,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.688330078125,"[0.15696935138987883, 0.28001017164653524, 0.37742587832047986]",SGD,0.5,0.6,80,,0.12926661627823238,1.1379934913119312,0.2969552640768046,1.3457550945048982,0.534904587279928,1.7072853377447406,95.91836734693878,98.14977973568281,87.5,84.15841584158416,91.85336048879837,29.708520179372197,96.03340292275574,89.2023346303502,71.35523613963039,69.0782953419227
300,87.675,87.8,0.38963019847869873,49.657374143600464,clipping,rdp,0,MNIST,512,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.688330078125,"[0.15696935138987883, 0.28001017164653524, 0.37742587832047986]",SGD,0.5,0.6,80,,0.1596162688726889,1.1730606447308127,0.3395960837553269,1.4043802240008503,0.5849444813950131,1.7948913330107263,95.91836734693878,98.14977973568281,89.63178294573643,91.68316831683168,92.56619144602851,65.24663677130044,96.24217118997912,88.52140077821012,74.22997946611909,82.1605550049554
400,89.64333333333333,90.84,0.3705168068408966,65.33116006851196,clipping,rdp,0,MNIST,512,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.688330078125,"[0.15696935138987883, 0.28001017164653524, 0.37742587832047986]",SGD,0.5,0.6,80,,0.1855403378344824,1.2038687602545053,0.38181626793959117,1.4649429034270345,0.633855872044316,1.8848643812859487,95.91836734693878,98.06167400881057,90.50387596899225,91.48514851485149,92.26069246435846,82.0627802690583,96.65970772442589,88.42412451361868,83.88090349075975,87.51238850346878
500,91.86333333333333,92.5,0.07658939063549042,81.47184586524963,clipping,rdp,0,MNIST,512,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.688330078125,"[0.15696935138987883, 0.28001017164653524, 0.37742587832047986]",SGD,0.5,0.6,80,,0.20860152594982942,1.2319539990118582,0.42354319382042943,1.5273637252127255,0.682033125169229,1.9778949551034941,96.0204081632653,97.97356828193833,91.27906976744185,91.58415841584159,93.68635437881873,90.02242152466367,97.28601252609603,88.715953307393,88.19301848049281,89.59365708622398
600,92.97166666666666,93.48,0.4473288357257843,97.25025033950806,clipping,rdp,0,MNIST,512,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.688330078125,"[0.15696935138987883, 0.28001017164653524, 0.37742587832047986]",SGD,0.5,0.6,80,,0.22961135266375288,1.258110953429627,0.4643516872109028,1.5909824002250532,0.7296664593040982,2.0743885992570865,97.14285714285714,97.97356828193833,91.37596899224806,92.97029702970298,94.09368635437882,92.82511210762331,97.28601252609603,90.36964980544747,89.93839835728953,90.48562933597621
700,93.685,94.07,0.2137162685394287,112.86053609848022,clipping,rdp,0,MNIST,512,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.688330078125,"[0.15696935138987883, 0.28001017164653524, 0.37742587832047986]",SGD,0.5,0.6,80,,0.24905680223710844,1.2828148977563418,0.5026493226837133,1.6530950565885312,0.7766775543828655,2.174236469456333,97.55102040816327,98.06167400881057,91.66666666666667,93.26732673267327,94.19551934826885,94.28251121076234,96.97286012526096,91.147859922179,91.68377823408625,91.67492566897918
800,93.56666666666666,94.59,0.21559923887252808,128.6650710105896,clipping,rdp,0,MNIST,512,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.688330078125,"[0.15696935138987883, 0.28001017164653524, 0.37742587832047986]",SGD,0.5,0.6,80,,0.2672571815261537,1.306376379001847,0.5385169896179567,1.7134638922840297,0.8232471567241261,2.2778844894193284,97.75510204081633,98.14977973568281,92.82945736434108,93.86138613861387,94.90835030549898,94.5067264573991,97.59916492693111,91.53696498054475,93.1211498973306,91.47670961347869
900,93.52833333333334,94.96,0.3069005310535431,144.62891840934753,clipping,rdp,0,MNIST,512,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.688330078125,"[0.15696935138987883, 0.28001017164653524, 0.37742587832047986]",SGD,0.5,0.6,80,,0.2844337930275355,1.3290093207036362,0.5723873420796467,1.7724935528186012,0.8693017194820133,2.385244701965377,97.55102040816327,98.14977973568281,93.6046511627907,94.55445544554455,95.010183299389,94.5067264573991,97.59916492693111,92.41245136186771,93.94250513347022,92.07135777998018
