iteration,train_accuracy,test_accuracy,loss,time,individualize,accountant,seed,dataset_name,batch_size,ratios,budgets,linear_budgets,max_grad_norm,noise_multiplier,weights,optimizer,momentum,learning_rate,epochs,class_budgets,epsilon_0,linear_epsilon_0,epsilon_1,linear_epsilon_1,epsilon_2,linear_epsilon_2,accuracy_0,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
0,10.106666666666667,10.04,2.3104071617126465,1.6678740978240967,sampling,rdp,0,MNIST,512,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.0236039428710937,"[0.004782105444366454, 0.009002686456848144, 0.012963868057861328]",SGD,0.5,0.6,80,,0.15737725964205296,1.1704370892976064,0.18314210367339007,1.2009850603441483,0.20221576376852662,1.2241120986592533,0.0,0.0,0.0,98.61386138613861,0.0,0.0,0.0,0.2918287937743191,0.0,0.49554013875123887
100,70.815,72.08,1.1281191110610962,12.658978939056396,sampling,rdp,0,MNIST,512,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.0236039428710937,"[0.004782105444366454, 0.009002686456848144, 0.012963868057861328]",SGD,0.5,0.6,80,,0.17583054931912803,1.1922360163283214,0.2361413517405502,1.2663532987593384,0.30291245306687725,1.3537959385715799,93.77551020408163,98.94273127753304,72.28682170542636,73.26732673267327,91.75152749490834,3.3632286995515694,90.29227557411274,86.18677042801556,57.186858316221766,43.70664023785927
200,79.78833333333333,80.89,0.6095456480979919,25.298030376434326,sampling,rdp,0,MNIST,512,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.0236039428710937,"[0.004782105444366454, 0.009002686456848144, 0.012963868057861328]",SGD,0.5,0.6,80,,0.19080463002593862,1.2102229877493114,0.283636304747306,1.3279498738504334,0.3951497387950709,1.4846064774631291,96.0204081632653,98.41409691629956,87.01550387596899,83.76237623762377,91.44602851323829,25.896860986547086,95.92901878914405,89.39688715953308,69.60985626283367,63.62735381565907
300,86.38333333333334,86.75,0.429385244846344,37.84400200843811,sampling,rdp,0,MNIST,512,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.0236039428710937,"[0.004782105444366454, 0.009002686456848144, 0.012963868057861328]",SGD,0.5,0.6,80,,0.2054689165196562,1.228100806721292,0.3303611276903313,1.3914705362825643,0.4821730230083922,1.6195899873925044,96.0204081632653,98.23788546255507,89.24418604651163,90.29702970297029,93.38085539714868,60.31390134529148,96.5553235908142,88.715953307393,72.58726899383984,77.998017839445
400,89.18166666666667,90.0,0.3415866494178772,48.470712184906006,sampling,rdp,0,MNIST,512,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.0236039428710937,"[0.004782105444366454, 0.009002686456848144, 0.012963868057861328]",SGD,0.5,0.6,80,,0.22014849986646515,1.2462617865555317,0.37658696200988184,1.457302263847894,0.5578029011105643,1.7468303220582986,95.91836734693878,97.88546255506608,90.01937984496124,91.08910891089108,91.64969450101833,76.79372197309416,96.65970772442589,88.61867704280155,82.23819301848049,86.9177403369673
500,91.28333333333333,91.86,0.26418179273605347,61.217040061950684,sampling,rdp,0,MNIST,512,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.0236039428710937,"[0.004782105444366454, 0.009002686456848144, 0.012963868057861328]",SGD,0.5,0.6,80,,0.2345986545255748,1.26440120518398,0.4214550458082584,1.5241776912989407,0.6251908965585462,1.868602633199019,96.12244897959184,97.79735682819383,90.69767441860465,91.38613861386139,93.17718940936864,87.4439461883408,97.28601252609603,88.81322957198444,85.83162217659138,89.09811694747275
600,92.235,92.85,0.3207748234272003,72.83948636054993,sampling,rdp,0,MNIST,512,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.0236039428710937,"[0.004782105444366454, 0.009002686456848144, 0.012963868057861328]",SGD,0.5,0.6,80,,0.24907994435665284,1.2828445851555723,0.4628338721317024,1.5885694148432938,0.6866730333208481,1.9870935297967662,96.93877551020408,97.88546255506608,91.08527131782945,91.48514851485149,93.68635437881873,91.59192825112108,97.18162839248434,89.98054474708171,87.67967145790554,90.48562933597621
700,93.02833333333334,93.64,0.34599894285202026,83.60319972038269,sampling,rdp,0,MNIST,512,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.0236039428710937,"[0.004782105444366454, 0.009002686456848144, 0.012963868057861328]",SGD,0.5,0.6,80,,0.2634892344845408,1.3014632839431235,0.501154162141186,1.650625260917494,0.7436499876522857,2.103599631700132,97.24489795918367,97.97356828193833,91.47286821705427,92.97029702970298,93.9918533604888,93.83408071748879,97.07724425887265,91.05058365758755,89.73305954825462,90.78295341922696
800,93.66666666666667,94.24,0.1736748218536377,95.76998591423035,sampling,rdp,0,MNIST,512,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.0236039428710937,"[0.004782105444366454, 0.009002686456848144, 0.012963868057861328]",SGD,0.5,0.6,80,,0.2778507558348271,1.3202891370543755,0.5370399360846261,1.7109348825888426,0.7970407689360594,2.218964773622662,97.34693877551021,98.06167400881057,92.53875968992249,93.26732673267327,94.60285132382892,94.05829596412556,97.59916492693111,91.82879377431907,92.09445585215606,90.78295341922696
900,93.255,94.57,0.1511012762784958,106.10180616378784,sampling,rdp,0,MNIST,512,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.0236039428710937,"[0.004782105444366454, 0.009002686456848144, 0.012963868057861328]",SGD,0.5,0.6,80,,0.29221227718511344,1.3393873088316546,0.5709241553091097,1.7699019601556694,0.8474908231274485,2.3337836231704214,97.44897959183673,98.14977973568281,93.31395348837209,94.35643564356435,94.70468431771894,94.05829596412556,97.49478079331942,92.12062256809338,92.60780287474333,91.17938553022795
