INFO:root:Input args: Namespace(dname='MNIST', seeds=[0], architecture='MNIST_CNN', accountant='rdp', individualize=None, log_iteration=100, lr=0.6, momentum=0.5, epochs=80, n_workers=6, batch_size=512, max_physical_batch_size=512, delta=1e-05, budgets=[1.0, 2.0, 3.0], ratios=[0.54, 0.37, 0.09], max_grad_norm=0.2, noise_multiplier=3.42529, weights=None, adapt_weights_to_budgets=True, use_cuda='True', save_path='../mnist_results/standard/MNIST/epochs_80_batch_512_lr_0.6_max_grad_norm_0.2_budgets_1.0_2.0_3.0_ratios_0.54_0.37_0.09_seeds_0', mode='mia', accuracy_log='accuracy.log', assign_budget='random', class_budgets=[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], mia_ndata=60000, mia_count=0, allow_excess=False, save_model='True')
INFO:root:seed: 0,   max_iteration: 9375,   1 epoch ~= 117 iterations
INFO:root:seed: 0,   max_iteration: 9375,   1 epoch ~= 117 iterations
INFO:root:Initializing privacy parameters:   max_grad_norm=0.2,   sample_rate=0.00847457627118644,   noise_multiplier 3.42529296875,   no individual parameters
INFO:root:iteration: 0,   train accuracy: 10.14,   test accuracy: 10.09,   loss: 2.31319,   DP costs: 0.053,   average batch-size: 513,   best alpha: 111.95,   time: 1
INFO:root:iteration: 100,   train accuracy: 70.39,   test accuracy: 71.97,   loss: 1.19796,   DP costs: 0.092,   average batch-size: 497,   best alpha: 110.59,   time: 8
INFO:root:iteration: 200,   train accuracy: 79.69,   test accuracy: 80.57,   loss: 0.62169,   DP costs: 0.129,   average batch-size: 518,   best alpha: 97.04,   time: 15
INFO:root:iteration: 300,   train accuracy: 86.29,   test accuracy: 86.64,   loss: 0.49278,   DP costs: 0.16,   average batch-size: 509,   best alpha: 81.43,   time: 22
INFO:root:iteration: 400,   train accuracy: 88.86,   test accuracy: 89.85,   loss: 0.38851,   DP costs: 0.186,   average batch-size: 516,   best alpha: 72.07,   time: 29
INFO:root:iteration: 500,   train accuracy: 91.49,   test accuracy: 91.97,   loss: 0.23381,   DP costs: 0.209,   average batch-size: 554,   best alpha: 65.38,   time: 36
INFO:root:iteration: 600,   train accuracy: 92.62,   test accuracy: 93.09,   loss: 0.36377,   DP costs: 0.23,   average batch-size: 510,   best alpha: 60.28,   time: 44
INFO:root:iteration: 700,   train accuracy: 93.45,   test accuracy: 93.46,   loss: 0.20767,   DP costs: 0.249,   average batch-size: 495,   best alpha: 56.27,   time: 51
INFO:root:iteration: 800,   train accuracy: 92.96,   test accuracy: 94.13,   loss: 0.29801,   DP costs: 0.267,   average batch-size: 500,   best alpha: 53.17,   time: 58
INFO:root:iteration: 900,   train accuracy: 93.14,   test accuracy: 94.58,   loss: 0.25387,   DP costs: 0.284,   average batch-size: 523,   best alpha: 50.44,   time: 65
INFO:root:iteration: 1000,   train accuracy: 93.8,   test accuracy: 94.58,   loss: 0.2116,   DP costs: 0.301,   average batch-size: 462,   best alpha: 48.06,   time: 72
INFO:root:iteration: 1100,   train accuracy: 95.14,   test accuracy: 95.09,   loss: 0.18287,   DP costs: 0.316,   average batch-size: 500,   best alpha: 46.16,   time: 79
INFO:root:iteration: 1200,   train accuracy: 94.75,   test accuracy: 95.36,   loss: 0.1796,   DP costs: 0.331,   average batch-size: 490,   best alpha: 44.33,   time: 86
INFO:root:iteration: 1300,   train accuracy: 94.69,   test accuracy: 95.35,   loss: 0.23037,   DP costs: 0.346,   average batch-size: 495,   best alpha: 42.75,   time: 93
INFO:root:iteration: 1400,   train accuracy: 95.12,   test accuracy: 95.64,   loss: 0.17593,   DP costs: 0.36,   average batch-size: 484,   best alpha: 41.4,   time: 101
INFO:root:iteration: 1500,   train accuracy: 95.48,   test accuracy: 95.68,   loss: 0.12893,   DP costs: 0.373,   average batch-size: 562,   best alpha: 40.25,   time: 108
INFO:root:iteration: 1600,   train accuracy: 94.79,   test accuracy: 95.74,   loss: 0.28895,   DP costs: 0.386,   average batch-size: 469,   best alpha: 38.97,   time: 115
INFO:root:iteration: 1700,   train accuracy: 95.87,   test accuracy: 95.88,   loss: 0.14644,   DP costs: 0.399,   average batch-size: 510,   best alpha: 38.05,   time: 122
INFO:root:iteration: 1800,   train accuracy: 95.9,   test accuracy: 95.85,   loss: 0.14784,   DP costs: 0.411,   average batch-size: 505,   best alpha: 36.99,   time: 129
INFO:root:iteration: 1900,   train accuracy: 95.17,   test accuracy: 95.92,   loss: 0.22451,   DP costs: 0.423,   average batch-size: 489,   best alpha: 36.11,   time: 136
INFO:root:iteration: 2000,   train accuracy: 95.31,   test accuracy: 96.01,   loss: 0.13138,   DP costs: 0.435,   average batch-size: 462,   best alpha: 35.4,   time: 143
INFO:root:iteration: 2100,   train accuracy: 96.58,   test accuracy: 96.16,   loss: 0.2071,   DP costs: 0.446,   average batch-size: 523,   best alpha: 34.56,   time: 150
INFO:root:iteration: 2200,   train accuracy: 95.48,   test accuracy: 96.3,   loss: 0.1493,   DP costs: 0.457,   average batch-size: 540,   best alpha: 33.87,   time: 157
INFO:root:iteration: 2300,   train accuracy: 95.97,   test accuracy: 96.36,   loss: 0.11833,   DP costs: 0.468,   average batch-size: 506,   best alpha: 33.2,   time: 165
INFO:root:iteration: 2400,   train accuracy: 96.51,   test accuracy: 96.18,   loss: 0.22462,   DP costs: 0.479,   average batch-size: 478,   best alpha: 32.54,   time: 172
INFO:root:iteration: 2500,   train accuracy: 95.98,   test accuracy: 96.2,   loss: 0.09812,   DP costs: 0.49,   average batch-size: 522,   best alpha: 32.03,   time: 179
INFO:root:iteration: 2600,   train accuracy: 96.05,   test accuracy: 96.32,   loss: 0.1897,   DP costs: 0.5,   average batch-size: 536,   best alpha: 31.39,   time: 186
INFO:root:iteration: 2700,   train accuracy: 95.97,   test accuracy: 96.34,   loss: 0.10158,   DP costs: 0.51,   average batch-size: 505,   best alpha: 30.9,   time: 193
INFO:root:iteration: 2800,   train accuracy: 96.1,   test accuracy: 96.41,   loss: 0.11915,   DP costs: 0.52,   average batch-size: 563,   best alpha: 30.41,   time: 200
INFO:root:iteration: 2900,   train accuracy: 96.69,   test accuracy: 96.41,   loss: 0.13642,   DP costs: 0.53,   average batch-size: 485,   best alpha: 29.93,   time: 207
INFO:root:iteration: 3000,   train accuracy: 96.0,   test accuracy: 96.47,   loss: 0.08075,   DP costs: 0.54,   average batch-size: 470,   best alpha: 29.45,   time: 214
INFO:root:iteration: 3100,   train accuracy: 96.6,   test accuracy: 96.58,   loss: 0.1437,   DP costs: 0.549,   average batch-size: 553,   best alpha: 29.1,   time: 222
INFO:root:iteration: 3200,   train accuracy: 95.98,   test accuracy: 96.62,   loss: 0.13517,   DP costs: 0.559,   average batch-size: 469,   best alpha: 28.64,   time: 228
