iteration,train_accuracy,test_accuracy,loss,time,individualize,accountant,seed,dataset_name,batch_size,ratios,budgets,linear_budgets,max_grad_norm,noise_multiplier,weights,optimizer,momentum,learning_rate,epochs,class_budgets,epsilon_0,linear_epsilon_0,epsilon_1,linear_epsilon_1,epsilon_2,linear_epsilon_2,accuracy_0,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
0,10.348,10.23,2.3001596927642822,1.012911081314087,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.9691111328125,"[1.169997998931053, 2.125307044660194, 2.9285167304347826]",SGD,0.5,0.1,60,,0.035941401355826005,1.0365951016436445,0.14084254555175282,1.1512433653243528,0.29507555191505297,1.3432278382882745,0.0,0.0,0.0,77.6,0.0,0.0,24.7,0.0,0.0,0.0
100,28.038,28.68,2.042619466781616,33.52527832984924,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.9691111328125,"[1.169997998931053, 2.125307044660194, 2.9285167304347826]",SGD,0.5,0.1,60,,0.1673774833718658,1.1822004421000087,0.3440973813547866,1.4107160062548034,0.5380054535424769,1.7125876178311996,53.0,31.2,4.0,10.1,0.0,25.0,71.0,27.2,27.5,37.8
200,33.282,34.38,1.9000102281570435,66.05715417861938,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.9691111328125,"[1.169997998931053, 2.125307044660194, 2.9285167304347826]",SGD,0.5,0.1,60,,0.2397335467375809,1.270910466961601,0.48614624463339995,1.6260377781225095,0.7412140754374332,2.098481683628909,45.7,43.1,8.4,12.7,20.5,33.1,59.0,38.7,41.5,41.1
300,38.208,38.56,1.946693778038025,98.31596684455872,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.9691111328125,"[1.169997998931053, 2.125307044660194, 2.9285167304347826]",SGD,0.5,0.1,60,,0.29645153036150773,1.345077363003698,0.5977464044702953,1.8180171051243534,0.9055891437716932,2.4733886754301486,49.9,46.4,15.3,17.0,36.4,36.1,49.8,40.0,45.4,49.3
400,41.388,42.17,1.8284392356872559,130.63221192359924,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.9691111328125,"[1.169997998931053, 2.125307044660194, 2.9285167304347826]",SGD,0.5,0.1,60,,0.3449283910003981,1.4118888121022128,0.6932910882710142,2.0002878361325602,1.0467295966987549,2.8483207118246665,48.6,55.0,18.6,19.3,30.2,38.7,58.2,48.7,53.2,51.2
500,43.824,44.07,1.637037754058838,162.96753454208374,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.9691111328125,"[1.169997998931053, 2.125307044660194, 2.9285167304347826]",SGD,0.5,0.1,60,,0.38807585636168856,1.4741416030656274,0.7784622244395253,2.178120228763111,1.172797578469837,3.2310190359044504,49.4,59.7,25.5,30.7,33.3,38.3,51.0,50.4,54.8,47.6
600,44.732,45.0,1.5390903949737549,195.3021743297577,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.9691111328125,"[1.169997998931053, 2.125307044660194, 2.9285167304347826]",SGD,0.5,0.1,60,,0.4274097119663589,1.533280736515892,0.8562011495553556,2.3542004297807018,1.2880470416512082,3.62569879821975,49.8,60.0,23.7,27.2,38.0,40.0,53.8,51.4,55.4,50.7
700,46.204,46.04,1.380384922027588,226.9322271347046,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.9691111328125,"[1.169997998931053, 2.125307044660194, 2.9285167304347826]",SGD,0.5,0.1,60,,0.46383426708535563,1.5901594068468152,0.9282811370752808,2.5301564457065138,1.3950509807557863,4.035180283929108,53.2,61.2,25.7,25.7,34.1,44.2,55.9,52.8,55.5,52.1
800,47.064,47.34,1.4726674556732178,258.37175273895264,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.9691111328125,"[1.169997998931053, 2.125307044660194, 2.9285167304347826]",SGD,0.5,0.1,60,,0.49794339453542324,1.6453339858733969,0.9958529526874965,2.7070323273368118,1.4954887618229555,4.461516639038618,50.8,60.1,26.1,30.1,38.1,41.2,58.9,54.5,57.7,55.9
900,47.378,46.72,1.5755919218063354,290.5357024669647,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.9691111328125,"[1.169997998931053, 2.125307044660194, 2.9285167304347826]",SGD,0.5,0.1,60,,0.5301516976222862,1.6991900521592402,1.0597314569809855,2.88559597855502,1.5905363984009155,4.906379996997697,48.2,65.4,29.8,31.0,36.8,44.4,48.6,52.8,59.2,51.0
1000,48.76,48.61,1.5151336193084717,322.1955392360687,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.9691111328125,"[1.169997998931053, 2.125307044660194, 2.9285167304347826]",SGD,0.5,0.1,60,,0.5607651012187091,1.752012454494568,1.120497593581915,3.0663796345649965,1.6810541131823444,5.371214856430551,50.7,66.6,25.4,29.5,35.8,45.6,57.4,57.2,61.7,56.2
1100,49.544,49.2,1.6648985147476196,354.23296451568604,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.9691111328125,"[1.169997998931053, 2.125307044660194, 2.9285167304347826]",SGD,0.5,0.1,60,,0.59000638384996,1.8039999318259898,1.1786095791460274,3.249852397466111,1.7676942335803643,5.857332139227848,52.0,67.3,24.5,32.2,37.6,43.0,56.5,58.2,61.4,59.3
1200,50.504,50.74,1.5282814502716064,386.78968381881714,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.9691111328125,"[1.169997998931053, 2.125307044660194, 2.9285167304347826]",SGD,0.5,0.1,60,,0.618060762423631,1.8553266318592494,1.2344087175886842,3.436346068898103,1.850969030505598,6.36598536869332,54.6,66.7,28.0,30.4,45.1,49.7,56.3,55.7,64.0,56.9
1300,51.716,51.53,1.343096137046814,418.48038959503174,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.9691111328125,"[1.169997998931053, 2.125307044660194, 2.9285167304347826]",SGD,0.5,0.1,60,,0.6450701979591228,1.906120830367719,1.2881825283039567,3.6261900652931094,1.9312675403213588,6.898248510491052,50.2,71.3,32.8,34.5,39.3,50.7,55.7,56.8,66.3,57.7
1400,52.24,52.51,1.2764251232147217,450.41395115852356,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.9691111328125,"[1.169997998931053, 2.125307044660194, 2.9285167304347826]",SGD,0.5,0.1,60,,0.6711507507378136,1.956487455098163,1.340141538061528,3.819584083636274,2.00893951729699,7.455406823593442,56.5,70.6,28.6,34.6,39.0,48.5,61.9,59.9,63.8,61.7
1500,52.684,52.95,1.2972743511199951,482.26611709594727,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.9691111328125,"[1.169997998931053, 2.125307044660194, 2.9285167304347826]",SGD,0.5,0.1,60,,0.6963973625094182,2.006510939035586,1.3904875440225979,4.016807946379992,2.0842569986037596,8.038616558957447,54.0,70.2,37.9,31.2,31.5,54.3,60.6,59.1,69.9,60.8
1600,54.572,54.19,1.4648083448410034,513.4145891666412,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.9691111328125,"[1.169997998931053, 2.125307044660194, 2.9285167304347826]",SGD,0.5,0.1,60,,0.7208918929668711,2.056266362541491,1.4393718444007186,4.218045395811847,2.15743481454053,8.648923086654513,54.8,71.5,34.5,37.5,42.9,47.9,63.0,62.3,65.0,62.5
1700,55.46,54.62,1.267638087272644,544.6940553188324,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.9691111328125,"[1.169997998931053, 2.125307044660194, 2.9285167304347826]",SGD,0.5,0.1,60,,0.7447012866153834,2.1058123066993844,1.4869227990602714,4.423462670767263,2.2286688276471662,9.287494590992118,56.1,72.4,39.2,35.9,34.7,54.8,65.0,59.6,67.3,61.2
1800,55.392,55.04,1.255763292312622,577.0848197937012,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.9691111328125,"[1.169997998931053, 2.125307044660194, 2.9285167304347826]",SGD,0.5,0.1,60,,0.7678862177360559,2.1552057997848277,1.5332637781303309,4.63327415057763,2.298136400375021,9.955611881563769,54.3,70.1,37.5,33.0,38.8,56.4,67.3,62.0,69.3,61.7
1900,55.978,55.75,1.498777985572815,609.2055246829987,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.9691111328125,"[1.169997998931053, 2.125307044660194, 2.9285167304347826]",SGD,0.5,0.1,60,,0.79049474444429,2.2044868141058194,1.578484169318363,4.847602095163072,2.3659715178902356,10.65438471644479,55.1,72.6,40.4,37.0,38.3,51.7,65.0,63.0,73.0,61.4
2000,56.084,56.37,1.342902421951294,640.8900196552277,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.9691111328125,"[1.169997998931053, 2.125307044660194, 2.9285167304347826]",SGD,0.5,0.1,60,,0.8125697069829083,2.2536918797992658,1.62266994707273,5.066599827076497,2.432313507550723,11.3851913610869,57.0,71.2,37.5,37.9,43.0,55.1,64.6,62.8,70.3,64.3
2100,56.198,57.1,1.6515369415283203,672.3790168762207,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.9691111328125,"[1.169997998931053, 2.125307044660194, 2.9285167304347826]",SGD,0.5,0.1,60,,0.8341528595783774,2.302862373930221,1.6659064825683347,5.290466792726912,2.497237807330987,12.148889996871898,57.7,73.3,40.1,36.7,41.4,57.1,67.5,63.2,67.6,66.4
2200,57.422,57.14,1.2968393564224243,703.576788187027,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.9691111328125,"[1.169997998931053, 2.125307044660194, 2.9285167304347826]",SGD,0.5,0.1,60,,0.8552769591860468,2.3520257055004845,1.7082516257646652,5.519303229404827,2.560874798185903,12.94713849621606,61.0,70.9,38.4,38.2,43.1,53.1,70.1,62.2,67.8,66.6
