iteration,train_accuracy,test_accuracy,loss,time,individualize,accountant,seed,dataset_name,batch_size,ratios,budgets,linear_budgets,max_grad_norm,noise_multiplier,weights,optimizer,momentum,learning_rate,epochs,class_budgets,epsilon_0,linear_epsilon_0,epsilon_1,linear_epsilon_1,epsilon_2,linear_epsilon_2,accuracy_0,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
0,10.42,10.45,2.3026721477508545,0.9230263233184814,sampling,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.5374942626953128,"[0.01094970792175293, 0.020617676575073244, 0.029687500703125]",SGD,0.5,0.1,60,,0.11409222687537345,1.1208554931172905,0.13840147442022915,1.1484365256213755,0.15830257882578008,1.1715206184175084,0.0,0.0,0.0,72.0,0.0,0.0,32.5,0.0,0.0,0.0
100,27.5,28.29,2.0491271018981934,29.87274670600891,sampling,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.5374942626953128,"[0.01094970792175293, 0.020617676575073244, 0.029687500703125]",SGD,0.5,0.1,60,,0.18114430740787046,1.1985881319601515,0.34371614078843604,1.4101782865924062,0.5094902496431051,1.6644425284873205,52.8,28.9,3.8,16.1,0.0,20.9,69.1,28.3,25.0,38.0
200,31.654,32.63,2.0047812461853027,57.593788862228394,sampling,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.5374942626953128,"[0.01094970792175293, 0.020617676575073244, 0.029687500703125]",SGD,0.5,0.1,60,,0.2451096460508862,1.2777614070166339,0.4857549634230403,1.6254016645503553,0.7203928674241,2.0552404890936584,46.6,40.9,9.4,11.4,8.3,31.7,63.9,36.7,38.3,39.1
300,36.496,36.85,1.8598215579986572,84.55087757110596,sampling,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.5374942626953128,"[0.01094970792175293, 0.020617676575073244, 0.029687500703125]",SGD,0.5,0.1,60,,0.3014137824618623,1.351768563956084,0.5973522356178621,1.8173006406215944,0.8864348322318089,2.4264634629326713,48.3,44.0,10.6,15.7,36.3,33.6,49.0,37.9,44.8,48.3
400,39.852,40.87,1.6568200588226318,111.23083782196045,sampling,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.5374942626953128,"[0.01094970792175293, 0.020617676575073244, 0.029687500703125]",SGD,0.5,0.1,60,,0.3495347543961177,1.4184074872118961,0.6928888353478277,1.9994833763122664,1.0288336858869136,2.797800816472918,49.0,52.7,18.9,19.4,35.6,36.2,52.8,46.1,49.1,48.9
500,42.53,43.11,1.617674708366394,138.41492557525635,sampling,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.5374942626953128,"[0.01094970792175293, 0.020617676575073244, 0.029687500703125]",SGD,0.5,0.1,60,,0.39236691378539906,1.4804808205811633,0.7780472724712646,2.1772166009811063,1.155966224463399,3.1770917186961305,49.2,56.7,23.3,25.9,34.9,35.9,55.6,50.0,51.5,48.1
600,43.686,44.06,1.5521831512451172,164.95045042037964,sampling,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.5374942626953128,"[0.01094970792175293, 0.020617676575073244, 0.029687500703125]",SGD,0.5,0.1,60,,0.4314063085722218,1.5394209028142196,0.8557843060591704,2.353219301145583,1.2721577374371245,3.568544242566305,48.9,60.4,24.2,25.6,39.4,40.1,48.8,52.0,55.0,46.2
700,45.208,45.04,1.7329843044281006,191.63090825080872,sampling,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.5374942626953128,"[0.01094970792175293, 0.020617676575073244, 0.029687500703125]",SGD,0.5,0.1,60,,0.46755855575852523,1.5960926612323076,0.9278529035971956,2.5290731799735497,1.3800312626537106,3.975025895410324,50.5,60.8,23.4,25.2,32.3,44.1,55.2,51.6,56.6,50.7
800,45.91,45.92,1.4485362768173218,218.43575072288513,sampling,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.5374942626953128,"[0.01094970792175293, 0.020617676575073244, 0.029687500703125]",SGD,0.5,0.1,60,,0.5014088743026619,1.6510457487949037,0.9954224939462971,2.705867312372227,1.4812644894407427,4.398504027840912,50.5,59.1,24.7,28.6,35.3,37.2,59.0,54.2,57.0,53.6
900,46.722,46.42,1.5257618427276611,244.7550036907196,sampling,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,2.5374942626953128,"[0.01094970792175293, 0.020617676575073244, 0.029687500703125]",SGD,0.5,0.1,60,,0.5333731024481265,1.7046726572973236,1.0592903927515054,2.8843235260254234,1.5770671216514704,4.8407376766768575,50.1,63.1,27.3,28.1,37.3,42.6,53.1,52.9,56.6,53.1
