iteration,train_accuracy,test_accuracy,loss,time,individualize,accountant,seed,dataset_name,batch_size,ratios,budgets,linear_budgets,max_grad_norm,noise_multiplier,weights,optimizer,momentum,learning_rate,epochs,class_budgets,epsilon_0,linear_epsilon_0,epsilon_1,linear_epsilon_1,epsilon_2,linear_epsilon_2,accuracy_0,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
0,10.2,10.08,2.3105077743530273,1.037630558013916,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.04512756845101884,1.046161308574267,0.17688499211180206,1.1934938240294968,0.35972673520504556,1.432937789602862,0.0,0.0,0.0,98.11881188118812,0.0,0.0,0.10438413361169102,1.0700389105058365,0.0,0.49554013875123887
100,72.418,74.2,1.0496528148651123,11.517836570739746,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.09958580065662895,1.1047132517961473,0.2417070365169101,1.2734210722907409,0.4487584383881952,1.566366237542443,93.87755102040816,98.8546255506608,77.03488372093024,73.66336633663366,90.32586558044807,4.932735426008969,92.06680584551148,86.96498054474708,62.42299794661191,51.93260654112983
200,82.288,83.63,0.73220294713974,19.757160186767578,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.14238206228139375,1.1530170887332616,0.3008267150523983,1.3509752175837326,0.5173342538900463,1.6775497621422653,95.81632653061224,98.06167400881057,88.0813953488372,85.64356435643565,90.93686354378819,39.01345291479821,96.45093945720251,89.2023346303502,72.38193018480493,74.33102081268582
300,87.466,88.47,0.38499143719673157,28.301708698272705,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.1759140051562409,1.1923355195351042,0.35899857788874073,1.431894765256543,0.5836750393279442,1.7926142680535957,95.81632653061224,97.97356828193833,89.82558139534883,91.18811881188118,92.4643584521385,67.37668161434978,96.13778705636743,89.29961089494164,78.02874743326488,83.25074331020812
400,90.886,91.4,0.3297933340072632,37.4930956363678,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.2045571399229822,1.2269815634748051,0.41479489733591485,1.514060171069137,0.6487302258153412,1.9131100683047515,96.0204081632653,97.88546255506608,90.50387596899225,91.88118811881188,93.58452138492872,84.4170403587444,96.5553235908142,88.81322957198444,85.42094455852155,87.61149653121903
500,91.57,92.67,0.29362624883651733,46.35491895675659,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.23003968851466283,1.2586499628856993,0.4649776668663404,1.5919786346184535,0.7127297841555685,2.0395512010258807,96.22448979591837,97.79735682819383,90.79457364341086,91.78217821782178,93.9918533604888,90.47085201793722,97.07724425887265,89.6887159533074,88.50102669404518,89.79187314172448
600,92.67,93.64,0.2006027102470398,55.234580516815186,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.2532567063380512,1.288213927072654,0.5107350948081966,1.666515791899714,0.775656665030437,2.172017947220549,97.34693877551021,97.88546255506608,91.37596899224806,92.87128712871286,94.39918533604887,93.38565022421524,97.39039665970772,91.147859922179,89.93839835728953,90.38652130822597
700,93.348,94.18,0.15693864226341248,64.08626198768616,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.27474610395767657,1.3161964553699745,0.55311731376174,1.7386645416791242,0.8368913203456295,2.3091773148561976,97.65306122448979,98.06167400881057,91.66666666666667,93.46534653465346,94.39918533604887,94.39461883408072,96.97286012526096,91.82879377431907,91.78644763860369,91.37760158572844
800,94.106,94.7,0.16065412759780884,71.67283892631531,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.2948602498712576,1.3429386697198171,0.5928120787804376,1.809068512409764,0.8953443392655607,2.4481786483770165,97.44897959183673,98.14977973568281,92.82945736434108,93.86138613861387,95.21384928716904,94.73094170403587,97.49478079331942,92.41245136186771,93.42915811088295,91.2784935579782
900,95.336,95.03,0.2836477756500244,79.6941831111908,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.31384514192664464,1.3686777693329788,0.6302985276885225,1.8781711816840252,0.95072434803654,2.5875832915296204,97.55102040816327,98.23788546255507,94.0891472868217,94.25742574257426,94.80651731160896,94.73094170403587,97.28601252609603,92.70428015564202,94.35318275154005,92.07135777998018
1000,95.326,95.29,0.2001638561487198,88.1123218536377,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.331880922897058,1.3935868943419656,0.6659326000924451,1.9463047992431637,1.0034287147241754,2.727618037841593,98.06122448979592,98.41409691629956,94.0891472868217,94.05940594059406,95.31568228105907,95.51569506726457,97.07724425887265,93.28793774319067,94.55852156057495,92.36868186323092
1100,95.426,95.64,0.14810438454151154,96.95503449440002,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.3491029764431415,1.4177951823299688,0.6999797970915421,2.013712024219832,1.05381994688372,2.8685880695338875,97.85714285714286,98.23788546255507,94.18604651162791,94.85148514851485,95.62118126272912,95.4035874439462,97.49478079331942,94.8443579766537,94.76386036960986,92.9633300297324
1200,95.036,95.87,0.17591653764247894,104.87234234809875,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.3656199238183447,1.4414072939494922,0.7326496783934111,2.080586194721251,1.1022069294286838,3.010803327689876,98.06122448979592,98.32599118942731,94.76744186046511,95.04950495049505,95.72301425661914,95.06726457399103,97.7035490605428,94.74708171206225,95.48254620123203,93.55797819623389
1300,95.96,96.0,0.25853630900382996,114.05539774894714,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.3815138507992805,1.4644999465657111,0.7640999635897343,2.1470610716246425,1.148830298473305,3.154500926301957,98.06122448979592,98.59030837004406,95.05813953488372,95.04950495049505,95.62118126272912,95.96412556053812,97.7035490605428,94.94163424124514,95.58521560574948,93.26065411298315
1400,94.622,96.2,0.07546359300613403,122.73830819129944,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.3968564757241521,1.4871424736869694,0.794474920549901,2.2132785445597967,1.1938766277262938,3.2998487290049496,98.26530612244898,98.6784140969163,95.05813953488372,95.14851485148515,96.43584521384929,96.41255605381166,97.18162839248434,95.71984435797665,96.09856262833675,92.86422200198216
1500,96.018,96.23,0.20407971739768982,130.55226469039917,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.41170154100899475,1.5093838799059454,0.8238820239326999,2.279331102741672,1.2375182697681224,3.44704819709546,98.06122448979592,98.76651982378854,94.96124031007751,95.94059405940594,95.31568228105907,96.0762331838565,97.39039665970772,95.91439688715953,96.09856262833675,93.55797819623389
1600,96.308,96.39,0.12933284044265747,138.60898613929749,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.42610051764214985,1.531274687518736,0.8524163343299875,2.3453070566538403,1.2798824583475288,3.5962169954372802,97.95918367346938,98.50220264317181,95.63953488372093,95.74257425742574,96.02851323828921,96.41255605381166,97.39039665970772,96.20622568093385,96.30390143737166,93.55797819623389
1700,96.592,96.47,0.0845906063914299,147.20020985603333,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.44009108937776226,1.552848660087532,0.880157478199343,2.4112794004577554,1.3210939214814263,3.7475186269456153,98.26530612244898,98.50220264317181,95.73643410852713,96.03960396039604,95.92668024439918,96.18834080717488,97.59916492693111,96.49805447470817,96.20123203285421,93.55797819623389
1800,96.436,96.48,0.17409685254096985,155.57547903060913,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.4537109996487131,1.5741430038504383,0.9071729413968985,2.477309126321401,1.3612421641448231,3.901036020519104,98.26530612244898,98.59030837004406,95.63953488372093,96.13861386138613,96.02851323828921,97.08520179372198,97.49478079331942,95.8171206225681,95.89322381930185,93.75619425173439
1900,95.54,96.48,0.22750641405582428,163.03728199005127,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.4669873899250829,1.5951812879346245,0.9335172291516647,2.543439322659609,1.4004119039884217,4.056870663944643,98.16326530612245,98.41409691629956,96.02713178294573,96.43564356435644,95.31568228105907,96.97309417040358,97.28601252609603,96.10894941634241,95.68788501026694,94.25173439048562
2000,96.316,96.56,0.12749242782592773,170.88261938095093,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.4799461585087207,1.615987392679443,0.9592432130164243,2.609720723232291,1.438691721668409,4.215177582595268,97.95918367346938,98.41409691629956,95.44573643410853,96.43564356435644,95.41751527494908,97.19730941704036,97.59916492693111,96.10894941634241,96.30390143737166,94.64816650148661
2100,96.648,96.65,0.2701253890991211,178.92487859725952,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.4926149275007042,1.63659019415973,0.9844016966652751,2.6762102198292466,1.4761224350373239,4.3759447311086355,98.26530612244898,98.59030837004406,95.54263565891473,96.03960396039604,96.23217922606925,96.63677130044843,97.39039665970772,96.20622568093385,96.61190965092402,94.84638255698711
2200,97.552,96.74,0.04620795696973801,187.76426672935486,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.5050056629005067,1.6569949038315628,1.0090268482004026,2.7429304281021665,1.5127841328722338,4.539351374856775,98.57142857142857,98.6784140969163,95.73643410852713,96.63366336633663,96.63951120162933,96.63677130044843,97.49478079331942,96.3035019455253,95.7905544147844,94.74727452923686
2300,96.8,96.78,0.022311314940452576,195.84844827651978,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.5171440668505118,1.677230744256827,1.033152603259271,2.809910418385205,1.5487255470940111,4.705469460356216,98.36734693877551,98.76651982378854,95.54263565891473,96.43564356435644,96.84317718940937,97.42152466367713,97.39039665970772,96.01167315175097,95.99589322381931,94.94549058473736
2400,96.612,96.75,0.06603683531284332,204.00621628761292,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.5290458912389427,1.6973121154616055,1.0568120698386256,2.8771840915090405,1.5839764280342046,4.87429962778861,98.36734693877551,98.6784140969163,95.34883720930233,96.43564356435644,96.13034623217922,97.6457399103139,97.39039665970772,96.01167315175097,96.40657084188912,95.04459861248762
2500,96.636,96.91,0.20465612411499023,212.00244069099426,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.5407188890201623,1.7172409242002757,1.0800397799767292,2.94479669267947,1.6185983766521064,5.046012748398235,98.87755102040816,98.76651982378854,95.73643410852713,96.83168316831683,96.94501018329939,97.6457399103139,97.39039665970772,96.3035019455253,96.30390143737166,94.25173439048562
2600,95.566,96.9,0.07190621644258499,220.82353591918945,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.5521844804861187,1.737043413778084,1.10284807850427,3.01273432042115,1.6526193730588266,5.220636728307994,98.57142857142857,98.8546255506608,96.02713178294573,97.32673267326733,96.43584521384929,97.08520179372198,97.59916492693111,96.40077821011673,95.99589322381931,94.54905847373637
2700,96.472,96.92,0.053696729242801666,229.23134064674377,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.5634465026667153,1.7567166072694684,1.1252714288209247,3.0810530220211314,1.6860603029103975,5.398171596049488,98.77551020408163,98.76651982378854,95.25193798449612,96.93069306930693,96.43584521384929,97.53363228699551,97.39039665970772,96.69260700389106,96.40657084188912,94.94549058473736
2800,97.148,96.99,0.24472805857658386,238.05846643447876,clipping,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.4533072021484372,"[0.13101364146023467, 0.2354715008787346, 0.32002376751592354]",SGD,0.5,0.6,80,,0.5745218382277173,1.7762809741597234,1.1473270536174593,3.1497625014104575,1.7189801314034847,5.578835882405154,98.57142857142857,98.76651982378854,96.12403100775194,96.93069306930693,97.14867617107943,97.08520179372198,97.59916492693111,96.49805447470817,96.50924024640658,94.54905847373637
