iteration,train_accuracy,test_accuracy,loss,time,individualize,accountant,seed,dataset_name,batch_size,ratios,budgets,linear_budgets,max_grad_norm,noise_multiplier,weights,optimizer,momentum,learning_rate,epochs,class_budgets,epsilon_0,linear_epsilon_0,epsilon_1,linear_epsilon_1,epsilon_2,linear_epsilon_2,accuracy_0,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
0,10.898617196991413,10.010755992624462,2.3024418354034424,0.9726207256317139,clipping,rdp,0,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.29248046875,"[1.055056179775281, 1.879174484052533, 2.5314237573715253]",SGD,0.5,0.1,50,,0.058802309102032706,1.060565555857355,0.22424067704730738,1.2513721597446177,0.44631364244925836,1.5625414690203485,0.0,0.0,0.0,78.38306731436502,0.0,0.0,17.551846231664136,0.0,0.0,0.0
100,19.057564464829298,19.587430854333128,2.248612642288208,11.887649536132812,clipping,rdp,0,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.29248046875,"[1.055056179775281, 1.879174484052533, 2.5314237573715253]",SGD,0.5,0.1,50,,0.15208327554609108,1.1642571865482696,0.34090863931443854,1.4062247613350207,0.6072770252052299,1.8354267673062084,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,29.65996423549968,30.331899200983404,2.154475450515747,22.384897470474243,clipping,rdp,0,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.29248046875,"[1.055056179775281, 1.879174484052533, 2.5314237573715253]",SGD,0.5,0.1,50,,0.21689016308706807,1.2422076543904228,0.44669452483352334,1.563136726895005,0.7319268218394179,2.079082772798908,0.0,80.54520494214552,69.07688599662569,28.174878556557946,1.9817677368212445,2.5587248322147653,0.0,0.0,0.0,0.0
300,39.802339708150754,40.88045482483098,1.7381255626678467,34.839534759521484,clipping,rdp,0,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.29248046875,"[1.055056179775281, 1.879174484052533, 2.5314237573715253]",SGD,0.5,0.1,50,,0.2676817946741454,1.3069312013726977,0.5451995169158778,1.7249525052500099,0.851147008211825,2.3423319857187894,9.346330275229358,79.91763090802118,79.17570498915401,42.22761970853574,28.77526753864447,35.27684563758389,11.12797167425392,4.903417533432393,0.7831325301204819,0.18808777429467086
400,49.341359870046546,51.21389059618931,1.6017104387283325,46.320902824401855,clipping,rdp,0,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.29248046875,"[1.055056179775281, 1.879174484052533, 2.5314237573715253]",SGD,0.5,0.1,50,,0.31108290115667314,1.3649023684811687,0.630431950724559,1.8784217897033515,0.9660320790661636,2.627498043294107,32.79816513761468,81.56501274759756,85.17715112075199,51.977793199167245,47.760602457392,49.328859060402685,26.100151745068285,23.179791976225854,10.72289156626506,1.6300940438871474
500,59.0127905865651,60.341118623232944,1.3157652616500854,57.192187786102295,clipping,rdp,0,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.29248046875,"[1.055056179775281, 1.879174484052533, 2.5314237573715253]",SGD,0.5,0.1,50,,0.34970705044638034,1.418651894274187,0.7064096632895174,2.026701639086965,1.0751552734930694,2.93044788608872,45.5848623853211,84.95783486958227,87.3704507110147,62.90770298403886,61.950059453032104,66.10738255033557,32.119372787051084,45.3689945517583,17.83132530120482,9.843260188087774
600,65.67563509289215,67.16349108789183,1.1227155923843384,68.9828531742096,clipping,rdp,0,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.29248046875,"[1.055056179775281, 1.879174484052533, 2.5314237573715253]",SGD,0.5,0.1,50,,0.38491216596752903,1.469485244957852,0.7757474461884287,2.1722151344752847,1.1766994952277376,3.243650831306284,58.944954128440365,85.74230241223769,87.49096167751266,68.18181818181819,71.85889813713833,75.58724832214764,36.62114314618108,68.59831599801882,23.49397590361446,23.510971786833856
700,70.79596489072716,71.11631837738169,0.9114637970924377,79.72182130813599,clipping,rdp,0,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.29248046875,"[1.055056179775281, 1.879174484052533, 2.5314237573715253]",SGD,0.5,0.1,50,,0.4175053346180133,1.5181695027312574,0.8400243424222387,2.3164233634503915,1.271275026175796,3.5653956382355365,64.56422018348624,85.91880760933516,88.02120993010364,71.54753643303262,77.92310741181133,78.81711409395973,41.22407688416793,76.57256067360079,32.89156626506024,33.85579937304075
800,73.52744447629578,74.33543331284572,0.8503537774085999,90.88957381248474,clipping,rdp,0,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.29248046875,"[1.055056179775281, 1.879174484052533, 2.5314237573715253]",SGD,0.5,0.1,50,,0.44802175835323055,1.5652127517349514,0.900271163567232,2.460270156345635,1.3601229068875857,3.896672200216725,68.34862385321101,87.17395567758383,88.8647866955893,73.76821651630812,79.90487514863258,79.86577181208054,48.81133029843197,79.49479940564636,39.69879518072289,47.14733542319749
900,75.99410295261886,76.17931776275353,0.7908807992935181,101.28833961486816,clipping,rdp,0,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.29248046875,"[1.055056179775281, 1.879174484052533, 2.5314237573715253]",SGD,0.5,0.1,50,,0.4768345364925939,1.6109668657724345,0.957214143576792,2.6044307873054118,1.4442292403710655,4.2385839540926,70.01146788990826,86.78172190625612,89.17811520848397,77.5503122831367,79.66706302021403,80.74664429530202,54.98229640870005,80.23774145616642,43.373493975903614,55.67398119122257
1000,78.70647173648935,78.14612784265519,0.7651649117469788,112.02788305282593,clipping,rdp,0,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.29248046875,"[1.055056179775281, 1.879174484052533, 2.5314237573715253]",SGD,0.5,0.1,50,,0.5042168942374392,1.6556884334957236,1.0113671996025992,2.749357366889812,1.5243429029154987,4.592125105684863,70.75688073394495,88.84094920572662,89.587852494577,77.86259541984732,81.6884661117717,80.36912751677852,62.62013151239251,80.9311540366518,46.08433734939759,62.94670846394985
1100,79.26068498573515,79.11032575291948,0.7320559024810791,122.92229104042053,clipping,rdp,0,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.29248046875,"[1.055056179775281, 1.879174484052533, 2.5314237573715253]",SGD,0.5,0.1,50,,0.5303684324015421,1.6995583656518387,1.0631452583669514,2.895463663681331,1.6010169353989183,4.95807190037593,72.70642201834862,88.5859972543636,90.0939985538684,79.18112421929216,81.529924692826,82.71812080536913,61.962569549822966,82.4665676077266,49.036144578313255,66.20689655172414
1200,81.08849666243499,80.28964351567302,0.7697820663452148,133.4625895023346,clipping,rdp,0,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.29248046875,"[1.055056179775281, 1.879174484052533, 2.5314237573715253]",SGD,0.5,0.1,50,,0.5554562335298627,1.7427358979776115,1.1128566051081803,3.0430387503970797,1.6747087527538698,5.337240466097913,73.68119266055047,89.48813492841734,91.03398409255242,78.52185981956974,82.91716210860088,81.75335570469798,65.30096105209914,82.61515601783061,53.855421686746986,70.15673981191223
1300,81.73553380564314,80.9119545175169,0.6514257192611694,144.72336053848267,clipping,rdp,0,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.29248046875,"[1.055056179775281, 1.879174484052533, 2.5314237573715253]",SGD,0.5,0.1,50,,0.5796085611704698,1.7853394427716878,1.1607463932322657,3.192315109506441,1.7457710683346352,5.73031823933081,75.3440366972477,88.860560894293,91.03398409255242,80.77723802914643,82.40190249702735,83.17953020134229,67.32422862923622,83.308568598316,54.33734939759036,71.22257053291536
1400,82.63374148545532,81.52658266748617,0.6387584805488586,155.9204225540161,clipping,rdp,0,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.29248046875,"[1.055056179775281, 1.879174484052533, 2.5314237573715253]",SGD,0.5,0.1,50,,0.6029228306532943,1.8274523357876036,1.2070207095422503,3.343508516006834,1.814504071324591,6.138031396730111,76.43348623853211,89.23318297705433,91.22680163894914,79.38931297709924,83.39278636543797,84.39597315436242,68.13353566009104,84.29915799900941,55.903614457831324,73.60501567398119
1500,82.86443616309704,82.14505224339274,0.5956344604492188,166.47986125946045,clipping,rdp,0,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.29248046875,"[1.055056179775281, 1.879174484052533, 2.5314237573715253]",SGD,0.5,0.1,50,,0.6254938689610164,1.8691688539983684,1.251846614842084,3.496794231246785,1.8811190209905846,6.560842476400314,77.2362385321101,89.58619337124927,91.99807182453603,79.73629424011104,84.26476416963932,84.43791946308725,69.7521497218007,85.14115898959881,56.74698795180723,73.66771159874608
1600,84.40422075706076,82.57145052243392,0.7101721167564392,177.72433066368103,clipping,rdp,0,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.29248046875,"[1.055056179775281, 1.879174484052533, 2.5314237573715253]",SGD,0.5,0.1,50,,0.6473895309881649,1.9105468901361469,1.2953618259601456,3.652317238284522,1.9458525550973271,6.999596853903598,77.98165137614679,89.89998038831143,92.3596047240299,80.70784177654407,83.9080459770115,84.81543624161074,69.24633282751644,85.19068845963348,59.45783132530121,73.85579937304075
1700,84.49158442196651,83.03626306084819,0.6091749668121338,188.2868936061859,clipping,rdp,0,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.29248046875,"[1.055056179775281, 1.879174484052533, 2.5314237573715253]",SGD,0.5,0.1,50,,0.6686679285098331,1.9516358698599772,1.337685627387695,3.81021503579708,2.0088494898179463,7.4547356623238015,78.49770642201835,91.05707001372818,92.31140033743071,80.04857737682165,84.46294094332144,83.68288590604027,71.16843702579666,84.79445269935611,61.44578313253012,75.36050156739812
1800,84.87789562772159,83.24754148740013,0.5991315245628357,198.7827775478363,clipping,rdp,0,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.29248046875,"[1.055056179775281, 1.879174484052533, 2.5314237573715253]",SGD,0.5,0.1,50,,0.6893853737971094,1.9924905199364438,1.3789212880802273,3.9706161655342487,2.0702737181947044,7.926992583024157,78.84174311926606,90.54716611100216,92.50421788382742,80.08327550312283,84.78002378121285,84.43791946308725,72.1800708143652,85.53739474987617,61.204819277108435,75.92476489028213
