iteration,train_accuracy,test_accuracy,loss,time,individualize,accountant,seed,dataset_name,batch_size,ratios,budgets,linear_budgets,max_grad_norm,noise_multiplier,weights,optimizer,momentum,learning_rate,epochs,class_budgets,epsilon_0,linear_epsilon_0,epsilon_1,linear_epsilon_1,epsilon_2,linear_epsilon_2,accuracy_0,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
0,11.009186835387744,10.060694529809465,2.3024420738220215,1.7366926670074463,clipping,rdp,0,SVHN,1024,"[0.5400030031259812, 0.36999877144846227, 0.0899982254255566]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.729961525914333,"[1.2563957764207987, 2.237783096464312, 3.0145030928782095]",SGD,0.5,0.1,50,,0.058802309102032706,1.060565555857355,0.22424067704730732,1.2513721597446175,0.44631364244925836,1.5625414690203485,0.0,0.0,0.0,80.3261623872311,0.0,0.0,15.37683358624178,0.0,0.0,0.0
100,19.057564464829298,19.587430854333128,2.2516915798187256,31.736330270767212,clipping,rdp,0,SVHN,1024,"[0.5400030031259812, 0.36999877144846227, 0.0899982254255566]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.729961525914333,"[1.2563957764207987, 2.237783096464312, 3.0145030928782095]",SGD,0.5,0.1,50,,0.15208327554609108,1.1642571865482696,0.34090863931443843,1.4062247613350205,0.6072770252052299,1.8354267673062084,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,28.733090353140316,28.956668715427167,2.1606345176696777,59.52779412269592,clipping,rdp,0,SVHN,1024,"[0.5400030031259812, 0.36999877144846227, 0.0899982254255566]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.729961525914333,"[1.2563957764207987, 2.237783096464312, 3.0145030928782095]",SGD,0.5,0.1,50,,0.21689016308706807,1.2422076543904228,0.44669452483352323,1.5631367268950047,0.7319268218394179,2.079082772798908,0.0,83.34967640713866,53.02482525909858,25.19083969465649,6.817281014665081,7.969798657718121,0.0,0.0,0.0,0.0
300,39.876052800414975,40.26966810079902,1.7607899904251099,91.74739789962769,clipping,rdp,0,SVHN,1024,"[0.5400030031259812, 0.36999877144846227, 0.0899982254255566]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.729961525914333,"[1.2563957764207987, 2.237783096464312, 3.0145030928782095]",SGD,0.5,0.1,50,,0.2676817946741454,1.3069312013726977,0.5451995169158775,1.7249525052500094,0.851147008211825,2.3423319857187894,11.754587155963304,78.05452049421456,68.71535309713184,44.691186675919504,33.254062623860484,42.91107382550336,8.04248861911988,6.33977216443784,0.5421686746987951,0.06269592476489028
400,49.290852751272915,50.73755377996312,1.6113195419311523,121.00925326347351,clipping,rdp,0,SVHN,1024,"[0.5400030031259812, 0.36999877144846227, 0.0899982254255566]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.729961525914333,"[1.2563957764207987, 2.237783096464312, 3.0145030928782095]",SGD,0.5,0.1,50,,0.31108290115667314,1.3649023684811687,0.630431950724559,1.8784217897033515,0.9660320790661636,2.627498043294107,36.46788990825688,80.4275348107472,83.05615811038804,55.690492713393475,46.53190646056282,51.71979865771812,25.493171471927162,22.0901436354631,3.1927710843373496,0.6269592476489029
500,58.92406186439521,60.079901659496,1.3246923685073853,149.89039635658264,clipping,rdp,0,SVHN,1024,"[0.5400030031259812, 0.36999877144846227, 0.0899982254255566]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.729961525914333,"[1.2563957764207987, 2.237783096464312, 3.0145030928782095]",SGD,0.5,0.1,50,,0.34970705044638034,1.418651894274187,0.7064096632895172,2.0267016390869648,1.0751552734930694,2.93044788608872,49.88532110091743,84.5067660325554,86.52687394552905,67.83483691880639,61.98969480776853,65.56208053691275,30.09610520991401,42.44675581971273,10.481927710843374,10.219435736677116
600,66.76904596147808,68.47341733251383,1.0752019882202148,179.94872426986694,clipping,rdp,0,SVHN,1024,"[0.5400030031259812, 0.36999877144846227, 0.0899982254255566]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.729961525914333,"[1.2563957764207987, 2.237783096464312, 3.0145030928782095]",SGD,0.5,0.1,50,,0.38491216596752903,1.469485244957852,0.7757474461884286,2.1722151344752847,1.1766994952277376,3.243650831306284,60.49311926605505,85.48735046087468,89.39503494818028,72.65787647467037,72.37415774871185,77.93624161073825,40.010116337885684,66.56760772659733,18.49397590361446,30.219435736677116
700,71.28738550582197,72.31100184388445,0.8699249625205994,209.36333584785461,clipping,rdp,0,SVHN,1024,"[0.5400030031259812, 0.36999877144846227, 0.0899982254255566]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.729961525914333,"[1.2563957764207987, 2.237783096464312, 3.0145030928782095]",SGD,0.5,0.1,50,,0.4175053346180133,1.5181695027312574,0.8400243424222386,2.3164233634503915,1.271275026175796,3.5653956382355365,65.99770642201835,85.4677387723083,90.11810074716799,74.46217904233171,77.80420134760206,80.66275167785236,48.76074860900354,76.32491332342744,22.46987951807229,41.755485893416925
800,73.88781959403197,75.32267977873387,0.8637959361076355,239.14075708389282,clipping,rdp,0,SVHN,1024,"[0.5400030031259812, 0.36999877144846227, 0.0899982254255566]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.729961525914333,"[1.2563957764207987, 2.237783096464312, 3.0145030928782095]",SGD,0.5,0.1,50,,0.44802175835323055,1.5652127517349514,0.9002711635672318,2.4602701563456346,1.3601229068875857,3.896672200216725,69.95412844036697,86.66405177485781,90.6001446131598,75.98889659958363,80.7372175980975,82.63422818791946,54.02124430955994,79.89103516592373,30.783132530120483,51.47335423197492
900,76.66707618384591,77.41625691456669,0.7679306268692017,267.7836470603943,clipping,rdp,0,SVHN,1024,"[0.5400030031259812, 0.36999877144846227, 0.0899982254255566]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.6,2.729961525914333,"[1.2563957764207987, 2.237783096464312, 3.0145030928782095]",SGD,0.5,0.1,50,,0.4768345364925939,1.6109668657724345,0.957214143576792,2.6044307873054118,1.4442292403710655,4.2385839540926,70.64220183486239,86.87978034908805,90.67245119305856,78.48716169326856,81.2128418549346,81.20805369127517,60.79919069296915,82.21892025755325,36.68674698795181,63.38557993730407
