iteration,train_accuracy,test_accuracy,loss,time,individualize,accountant,seed,dataset_name,batch_size,ratios,budgets,linear_budgets,max_grad_norm,noise_multiplier,weights,optimizer,momentum,learning_rate,epochs,class_budgets,epsilon_0,linear_epsilon_0,epsilon_1,linear_epsilon_1,epsilon_2,linear_epsilon_2,accuracy_0,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
0,7.988315109818857,7.594499078057775,2.306259870529175,0.9781789779663086,sampling,rdp,42,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.6,1.9686750488281248,"[0.007440186472473144, 0.014013672734863283, 0.020190430485595705]",SGD,0.5,0.1,50,,0.18613602231491394,1.204586099824278,0.22045231950520697,1.2466404828860789,0.24686385623220716,1.2800048362340086,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
100,19.142198015206738,19.587430854333128,2.2343032360076904,11.581644773483276,sampling,rdp,42,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.6,1.9686750488281248,"[0.007440186472473144, 0.014013672734863283, 0.020190430485595705]",SGD,0.5,0.1,50,,0.22528079274647614,1.2526744087008603,0.33843279699484685,1.402747476940234,0.4739874178468597,1.606386775095899,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,18.761347038508266,19.587430854333128,2.2497568130493164,21.185942888259888,sampling,rdp,42,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.6,1.9686750488281248,"[0.007440186472473144, 0.014013672734863283, 0.020190430485595705]",SGD,0.5,0.1,50,,0.259271164463845,1.2959851823124646,0.4457020064727295,1.5615860546557612,0.6603531785450812,1.9354757822261799,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,18.761347038508266,19.587430854333128,2.246134042739868,32.40171837806702,sampling,rdp,42,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.6,1.9686750488281248,"[0.007440186472473144, 0.014013672734863283, 0.020190430485595705]",SGD,0.5,0.1,50,,0.292633117802621,1.3399510960377423,0.5445737136372645,1.7238733620176774,0.8083786157402499,2.2442662172011767,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,19.078040323791583,19.587430854333128,2.239136219024658,43.08433151245117,sampling,rdp,42,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.6,1.9686750488281248,"[0.007440186472473144, 0.014013672734863283, 0.020190430485595705]",SGD,0.5,0.1,50,,0.3256898791631417,1.3849857893134225,0.6297884330506807,1.8772133809405789,0.9353303532454247,2.5480550769797308,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,18.876011848697054,19.587430854333128,2.2590079307556152,53.992682218551636,sampling,rdp,42,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.6,1.9686750488281248,"[0.007440186472473144, 0.014013672734863283, 0.020190430485595705]",SGD,0.5,0.1,50,,0.35848934501999696,1.4311657830041071,0.7057467651691836,2.0253585875822777,1.0486429131930373,2.8537756676880055,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,19.083500552848193,19.587430854333128,2.278184652328491,64.81502199172974,sampling,rdp,42,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.6,1.9686750488281248,"[0.007440186472473144, 0.014013672734863283, 0.020190430485595705]",SGD,0.5,0.1,50,,0.3910555200662269,1.4785405998064256,0.7750723349832,2.170749142607282,1.1521834061880651,3.1650960610811927,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,18.979756200772623,19.587430854333128,2.253690481185913,75.79228687286377,sampling,rdp,42,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.6,1.9686750488281248,"[0.007440186472473144, 0.014013672734863283, 0.020190430485595705]",SGD,0.5,0.1,50,,0.4229828493468926,1.5265081151308,0.8393338079561949,2.3148243454320463,1.248269441074445,3.4843079367891607,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,18.885567249546117,19.587430854333128,2.2409729957580566,87.0089795589447,sampling,rdp,42,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.6,1.9686750488281248,"[0.007440186472473144, 0.014013672734863283, 0.020190430485595705]",SGD,0.5,0.1,50,,0.4532027049936551,1.5733430786913483,0.8995656668398254,2.4585350559275976,1.338423764884683,3.8130285366340786,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,18.912868394829164,19.587430854333128,2.248868703842163,97.91780853271484,sampling,rdp,42,SVHN,1024,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.6,1.9686750488281248,"[0.007440186472473144, 0.014013672734863283, 0.020190430485595705]",SGD,0.5,0.1,50,,0.48173726364056185,1.6188843896300367,0.956485808024784,2.6025345783922798,1.4237115522068275,4.152504109737573,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
