iteration,train_accuracy,test_accuracy,loss,time,individualize,accountant,seed,dataset_name,batch_size,ratios,budgets,linear_budgets,max_grad_norm,noise_multiplier,weights,optimizer,momentum,learning_rate,epochs,class_budgets,epsilon_0,linear_epsilon_0,epsilon_1,linear_epsilon_1,epsilon_2,linear_epsilon_2,accuracy_0,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
0,11.293118746331409,10.195144437615243,2.300762176513672,1.5043210983276367,standard,rdp,0,SVHN,1024,"[0.5400030031259812, 0.36999877144846227, 0.0899982254255566]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.9,2.74658203125,None,SGD,0.5,0.2,30,,0.10162688608225968,1.1069703686144092,0.10162688608225968,1.1069703686144092,0.10162688608225968,1.1069703686144092,0.0,0.0,0.0,85.14920194309508,0.0,0.0,10.116337885685383,0.0,0.0,0.0
100,18.92924908199899,19.587430854333128,2.220766305923462,30.718205213546753,standard,rdp,0,SVHN,1024,"[0.5400030031259812, 0.36999877144846227, 0.0899982254255566]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.9,2.74658203125,None,SGD,0.5,0.2,30,,0.20302780008843307,1.2251065258438534,0.20302780008843307,1.2251065258438534,0.20302780008843307,1.2251065258438534,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,18.869186562376292,19.587430854333128,2.234980821609497,57.63639450073242,standard,rdp,0,SVHN,1024,"[0.5400030031259812, 0.36999877144846227, 0.0899982254255566]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.9,2.74658203125,None,SGD,0.5,0.2,30,,0.28761950253862617,1.333249909392402,0.28761950253862617,1.333249909392402,0.28761950253862617,1.333249909392402,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,19.07531020926328,19.587430854333128,2.228889226913452,88.72674536705017,standard,rdp,0,SVHN,1024,"[0.5400030031259812, 0.36999877144846227, 0.0899982254255566]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.9,2.74658203125,None,SGD,0.5,0.2,30,,0.3540367399308685,1.4248075328485392,0.3540367399308685,1.4248075328485392,0.3540367399308685,1.4248075328485392,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,18.93061413926314,19.587430854333128,2.2523460388183594,117.21581363677979,standard,rdp,0,SVHN,1024,"[0.5400030031259812, 0.36999877144846227, 0.0899982254255566]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.9,2.74658203125,None,SGD,0.5,0.2,30,,0.41081474451177064,1.5080459568886804,0.41081474451177064,1.5080459568886804,0.41081474451177064,1.5080459568886804,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,18.88010702048951,19.587430854333128,2.2166781425476074,144.95836114883423,standard,rdp,0,SVHN,1024,"[0.5400030031259812, 0.36999877144846227, 0.0899982254255566]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.9,2.74658203125,None,SGD,0.5,0.2,30,,0.4613625906935221,1.5862339006706008,0.4613625906935221,1.5862339006706008,0.4613625906935221,1.5862339006706008,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,18.85690104699892,19.587430854333128,2.2486634254455566,174.2589008808136,standard,rdp,0,SVHN,1024,"[0.5400030031259812, 0.36999877144846227, 0.0899982254255566]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.9,2.74658203125,None,SGD,0.5,0.2,30,,0.5074498336546496,1.661049835769628,0.5074498336546496,1.661049835769628,0.5074498336546496,1.661049835769628,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,18.85007576067816,19.587430854333128,2.250014066696167,203.00187158584595,standard,rdp,0,SVHN,1024,"[0.5400030031259812, 0.36999877144846227, 0.0899982254255566]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.9,2.74658203125,None,SGD,0.5,0.2,30,,0.550134162243052,1.7334855705795968,0.550134162243052,1.7334855705795968,0.550134162243052,1.7334855705795968,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,18.65350751464024,19.587430854333128,2.2405312061309814,232.5108766555786,standard,rdp,0,SVHN,1024,"[0.5400030031259812, 0.36999877144846227, 0.0899982254255566]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.9,2.74658203125,None,SGD,0.5,0.2,30,,0.5901127839117312,1.804191887742051,0.5901127839117312,1.804191887742051,0.5901127839117312,1.804191887742051,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,18.945629769168818,19.587430854333128,2.2407047748565674,260.4948766231537,standard,rdp,0,SVHN,1024,"[0.5400030031259812, 0.36999877144846227, 0.0899982254255566]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.9,2.74658203125,None,SGD,0.5,0.2,30,,0.6278679051035152,1.8736115999472938,0.6278679051035152,1.8736115999472938,0.6278679051035152,1.8736115999472938,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,18.884202192281965,19.587430854333128,2.2492852210998535,288.1342399120331,standard,rdp,0,SVHN,1024,"[0.5400030031259812, 0.36999877144846227, 0.0899982254255566]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.9,2.74658203125,None,SGD,0.5,0.2,30,,0.6637588635510859,1.9420786403225596,0.6637588635510859,1.9420786403225596,0.6637588635510859,1.9420786403225596,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,18.8145842718102,19.587430854333128,2.2615139484405518,316.681432723999,standard,rdp,0,SVHN,1024,"[0.5400030031259812, 0.36999877144846227, 0.0899982254255566]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.9,2.74658203125,None,SGD,0.5,0.2,30,,0.6980462462756241,2.0098221715182,0.6980462462756241,2.0098221715182,0.6980462462756241,2.0098221715182,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
